condition,sigma0_um,sigma0_samples,sigma0_pixels,cycle,time_s,corr,fidelity,phaseCoherence,sigma_um,sigmaLocal_um,fwhm_um,width_ratio,fwhm_ratio,drift_um,driftLocal_um,logEnergy,peak_rel,leakage,gain_last,corr_vs_half
img_rand,40,3.999999999999999,1.9999999999999996,0,0,1,1,1,40.00000000000014,38.94069991826731,98.3698151873187,1,1,0,1.2064794296232988e-13,0,1,0.011583532514868433,1,1
img_rand,40,3.999999999999999,1.9999999999999996,1,6.673175776646975e-10,0.9996037938724976,0.9920672193296296,0.9980846135918287,44.927809646598156,38.93831490978379,92.36181543108381,1.12319524116495,0.9389243565742776,0.14491590333749574,0.21632345421160043,-0.39451523585860937,1.0325319868052785,0.015394585214051903,0.6740066943436075,0.9996037938724976
img_rand,40,3.999999999999999,1.9999999999999996,2,1.334635155329395e-9,0.995879261765447,0.9770136629935857,0.9921624634465275,45.40519300966038,39.00423942587071,88.84866446580955,1.1351298252415056,0.9032106474595007,0.25315969470278427,0.45541260758518526,-0.7904633378205763,1.0602042231601705,0.0164790149882873,0.6730416245708446,0.9970711541559015
img_rand,40,3.999999999999999,1.9999999999999996,3,2.0019527329940924e-9,0.9942314716358993,0.9582267999777321,0.9838196764770808,46.458902446005084,39.065620590610926,86.6724484131922,1.161472561150123,0.881087844357011,0.3026994707074194,0.6716432563926421,-1.187102978115096,1.0779618943419174,0.01768100124971561,0.6725763513837145,0.9996478521777493
img_rand,40,3.999999999999999,1.9999999999999996,4,2.66927031065879e-9,0.9930751217321941,0.9330721474228861,0.9725455918452124,47.17515007286438,39.15929724794782,85.19075891779829,1.1793787518216055,0.8660254037844388,0.47584124252116133,0.8891259287051303,-1.5844160101710687,1.0915354342423182,0.019610305969734454,0.6721235964675685,0.9971050504932615
img_rand,40,3.999999999999999,1.9999999999999996,6,4.003905465988185e-9,0.9863576308809261,0.8678769393697531,0.9428358701987335,47.68622730857062,39.42386011828008,78.9865416966859,1.1921556827142614,0.8029550685469664,1.02359833694835,1.3996735123804505,-2.3808643983243365,1.1609934766388852,0.0238632789103167,0.6712696736533963,0.997579380272365
img_rand,40,3.999999999999999,1.9999999999999996,7,4.671223043652883e-9,0.9812751344774354,0.8253475330538673,0.9240892043534282,51.19802283989576,39.60347776082103,75.6939756606048,1.2799505709973897,0.7694837640638656,0.9994590146408919,1.6583116183689715,-2.7803311085820037,1.1678995659791773,0.028879507528500548,0.6706776161760399,0.999508579772179
img_rand,40,3.999999999999999,1.9999999999999996,10,6.673175776646975e-9,0.9604097397507124,0.6833963883277093,0.8552352087020557,55.15436770045177,40.27289220788717,78.17640190446718,1.3788591925112896,0.7947194142390264,1.4870493361338386,2.432604055856452,-3.9817550455738657,1.1432186450685657,0.04101216852885847,0.6697174899892687,0.9946248642267194
img_rand,40,3.999999999999999,1.9999999999999996,13,8.675128509641068e-9,0.9331668021747862,0.5297707747440661,0.7702067893349728,59.83824991741821,41.081064409887695,70.46725639945929,1.49595624793545,0.716350399411379,1.9794932110969483,3.0972299672672126,-5.187130226650765,1.265944118771162,0.05714717986816198,0.6687817443235324,0.9943899419133027
img_rand,40,3.999999999999999,1.9999999999999996,18,1.2011716397964554e-8,0.8872742707950729,0.2962954936839976,0.6006122483611253,66.38039237716248,42.48260581043486,73.12732791431452,1.6595098094290563,0.7433919416750282,3.0717532993947247,3.8972018312792667,-7.202313032224272,1.255503540347855,0.08805186543433885,0.6679619362301709,0.989133219342747
