condition,sigma0_um,sigma0_samples,sigma0_pixels,cycle,time_s,corr,fidelity,phaseCoherence,sigma_um,sigmaLocal_um,fwhm_um,width_ratio,fwhm_ratio,drift_um,driftLocal_um,logEnergy,peak_rel,leakage,gain_last,corr_vs_half
preset,28,2.8,1.4,0,0,1,1,1,28.000000000000018,27.21789353726677,63.83076486422924,1,1,0,4.338925755574552e-14,0,1,0.012350540394264975,1,1
preset,28,2.8,1.4,1,6.673175776646975e-10,0.031484401103615285,0.00874635089842274,0.48208135243407774,48.05925303243272,23.9848983368716,99.01487006738307,1.7164018940154533,1.551209205748857,126.1704606967754,56.93859134196359,-0.38938017924230156,0.44938672927286566,0.8946446351782693,0.6774766584850962,0.031484401103615285
preset,28,2.8,1.4,2,1.334635155329395e-9,0.5619307896411274,0.35595898465038867,0.9363605304404274,71.47746137007313,36.77789102119369,146.25465582862904,2.5527664775026104,2.29128784747792,49.667887107866875,19.24862665649961,-0.7871505495335489,0.20318792100714317,0.5432896083357647,0.6718162789274608,0.5514995260101645
preset,28,2.8,1.4,3,2.0019527329940924e-9,0.5139173322615012,0.16816872270858588,0.7101360748408392,82.18487738213325,38.50628443082949,167.74562271083886,2.935174192219043,2.6279745052035794,57.62192985791891,14.602290474979576,-1.1890161465791418,0.15106552398195816,0.6296563158552054,0.6690706647215653,0.9739865023389477
preset,28,2.8,1.4,4,2.66927031065879e-9,0.17612806981235254,0.07831780720314974,0.7916748841790591,79.87416863367362,34.09885316251032,160.76928424958484,2.852648879774056,2.5186802099512358,119.38834267428473,34.38934161952786,-1.5897763674727063,0.1669948673459136,0.8309984289283975,0.6698106483831704,0.7907219785963152
preset,28,2.8,1.4,6,4.003905465988185e-9,-0.0033340135762307188,0.0024207313559092905,0.634890788945934,53.52224890256717,32.34088124724014,67.70275002573075,1.9115088893773977,1.0606601717798212,143.18274881138868,53.011448784855496,-2.3922407677927326,0.8983015686768745,0.9870233971006179,0.6700228760252703,0.6844710576143551
preset,28,2.8,1.4,7,4.671223043652883e-9,0.8897333792444804,0.6941243057081655,0.9290133923397099,61.722158867384515,33.23798282162288,91.66995688475083,2.204362816692303,1.4361406616345072,18.48140318740728,11.527405619622435,-2.7931219041344826,0.5167180491607577,0.1635535160455549,0.669729662824723,0.020713441800644803
preset,28,2.8,1.4,10,6.673175776646975e-9,0.6409656836476314,0.2927793405496454,0.8353609608785445,87.41239817441401,39.18038050081312,157.9730833933718,3.121871363371927,2.474873734152917,27.85593270303861,4.687003525494134,-3.9991476056703212,0.17239648034349825,0.5483234361701563,0.6684530192790231,0.8119475776513105
preset,28,2.8,1.4,13,8.675128509641068e-9,0.008995117243280662,0.0002855276012719121,0.10790005041740794,64.62995623646272,28.690158408099332,71.36496464611085,2.30821272273081,1.118033988749895,128.152786848912,55.98930670364232,-5.199594541539982,0.6840643791116298,0.9393090063766418,0.6712922623326295,0.3317437980184556
preset,28,2.8,1.4,18,1.2011716397964554e-8,0.005729400561476965,0.011573946264088598,0.7734521928159818,67.88073173942846,36.989232949551166,68.63662517577698,2.424311847836729,1.0752906583803286,141.3929532201538,38.910572024608385,-7.2127841335718115,0.7100737571231607,0.9703510424248114,0.6695562993721184,0.9539963723804542
preset,28,2.8,1.4,24,1.601562186395274e-8,0.9398011850717612,0.7614130667226637,0.9644287710503452,70.45809014186254,33.07251869956563,77.3577782789505,2.516360362209375,1.2119199643540823,6.850744761933805,2.7191790473157322,-9.622655089019295,0.5687938086049602,0.17824686272514867,0.6696368161938049,0.029495238542094838
preset,28,2.8,1.4,32,2.135416248527032e-8,0.09942741929841187,0.007581854031307319,0.25853373009198793,66.13433992085267,34.76798402520416,95.74614729634385,2.3619407114590225,1.5,107.74863274372925,39.076728890418636,-12.830794470181239,0.42657749100556364,0.8286141805944253,0.6707858522286078,0.17153207150852445
preset,28,2.8,1.4,42,2.8027338261917293e-8,0.05867383362664334,0.04854795206934461,0.8783282331950206,75.20799326863943,34.31321930516235,83.68283871884006,2.6859997595942637,1.3110110602126894,130.89861390783045,35.26608249508804,-16.84794182930043,0.40087097764788077,0.9133889175863797,0.6700690281237481,0.7387934017653006
preset,28,2.8,1.4,56,3.736978434922306e-8,0.08456420695945224,0.019009996147645244,0.41842128132978673,72.12585751327748,40.16573251165212,85.93479713983123,2.5759234826170516,1.3462912017836262,104.83306553336439,22.887850979861543,-22.471609419256175,0.5438097197745635,0.8489839831396513,0.6699292115186969,0.770806524678788
preset,28,2.8,1.4,75,5.004881832485231e-8,0.14725293938033296,0.016558625109127416,0.31153870392577593,74.25486277338794,41.402334370066434,73.9927702033192,2.6519593847638534,1.159202311936963,87.67733347756925,17.25103622000615,-30.110087240456963,0.5583054375205414,0.767745208893963,0.6687582522742443,0.8733434276115521
preset,28,2.8,1.4,100,6.673175776646975e-8,0.3014736655710665,0.1684711117316066,0.8288857399496543,82.66421505053705,31.145383867409308,76.53039857325813,2.9522933946620356,1.1989578808281798,74.6650354793266,39.785788683712134,-40.171833452769924,0.4685113979737117,0.5693223433414327,0.6685904340359536,0.24549089171825805
preset,28,2.8,1.4,133,8.875323782940476e-8,0.5635698948356561,0.2898256500736106,0.9421210350448121,94.8364636450501,36.66900108165707,132.5545386523798,3.387016558751787,2.0766559657295187,54.7696494118902,5.312231850692302,-53.46001318533801,0.19547726133897822,0.6631791495141579,0.6679494581060516,0.6005748661749281
preset,28,2.8,1.4,178,1.1878252882431615e-7,0.6378722292454276,0.3141386854026892,0.8572615896874057,88.15701615814882,32.949908417358365,85.93479713983123,3.1484648627910277,1.3462912017836262,62.81497330163147,23.69728681584108,-71.5426898013592,0.3563399433128316,0.4913124747337452,0.6698735312023957,0.6301458031901688
preset,28,2.8,1.4,237,1.5815426590653332e-7,0.23914533180487713,0.04523124327956575,0.5271982851365548,95.69688664590541,40.71363300289754,108.81694613449237,3.4177459516394766,1.704772712123232,84.1975164814117,12.228687807348434,-95.19375887867564,0.21428986483290213,0.7878573102362739,0.6709026663446354,0.47419426361549194
preset,28,2.8,1.4,316,2.108723545420444e-7,0.28164796394334896,0.10270403206333158,0.7054477655701148,91.90649001920016,40.574025194478864,100.2925341359355,3.282374643542861,1.571225636247067,64.29722881417901,9.399953203848982,-126.88994057570476,0.26961490107172104,0.7411412904948967,0.6699442353090255,0.7494963827131899
preset,28,2.8,1.4,422,2.8160801777450236e-7,0.6169386385069576,0.20578657971345993,0.8234298768494499,98.38514729099079,32.82619251607659,95.74614729634385,3.5137552603925264,1.5,64.12115612279808,13.948692179310651,-169.34754672728533,0.23982977686593399,0.6856395930073531,0.6708517505388891,0.6093554681760744
preset,28,2.8,1.4,562,3.7503247864756e-7,0.4313790985434904,0.15473231207598814,0.7415473687572839,96.5129100678018,37.290371225003256,92.36181543108381,3.4468896452786337,1.4469796128487782,67.73942804834753,2.4937388704657018,-225.37365582634885,0.28598562886564693,0.6915201758872302,0.6696301943806056,0.6747265124055112
