condition,sigma_um,sigma_px,sigma_samples,criterion,lifetime_cycles,censored,horizon,t_rt
img,5.0,0.24999999999999994,0.4999999999999999,corr<0.5,2.0,False,10000.0,6.673175776646975e-10
img,7.0,0.35,0.7,corr<0.5,422.0,False,10000.0,6.673175776646975e-10
img,10.0,0.4999999999999999,0.9999999999999998,corr<0.5,562.0,False,10000.0,6.673175776646975e-10
img,14.0,0.7,1.4,corr<0.5,562.0,False,10000.0,6.673175776646975e-10
img,20.0,0.9999999999999998,1.9999999999999996,corr<0.5,1334.0,False,100000.0,6.673175776646975e-10
img,28.0,1.4,2.8,corr<0.5,3162.0,False,100000.0,6.673175776646975e-10
img,40.0,1.9999999999999996,3.999999999999999,corr<0.5,4217.0,False,100000.0,6.673175776646975e-10
img,56.99999999999999,2.8499999999999996,5.699999999999999,corr<0.5,4217.0,False,100000.0,6.673175776646975e-10
img,80.0,3.999999999999999,7.999999999999998,corr<0.5,4217.0,False,100000.0,6.673175776646975e-10
img_ferr1e2,10.0,0.4999999999999999,0.9999999999999998,corr<0.5,32.0,False,10000.0,6.673175776646975e-10
img_ferr1e2,20.0,0.9999999999999998,1.9999999999999996,corr<0.5,75.0,False,10000.0,6.673175776646975e-10
img_ferr1e2,40.0,1.9999999999999996,3.999999999999999,corr<0.5,133.0,False,10000.0,6.673175776646975e-10
img_ferr1e3,10.0,0.4999999999999999,0.9999999999999998,corr<0.5,237.0,False,10000.0,6.673175776646975e-10
img_ferr1e3,20.0,0.9999999999999998,1.9999999999999996,corr<0.5,562.0,False,10000.0,6.673175776646975e-10
img_ferr1e3,40.0,1.9999999999999996,3.999999999999999,corr<0.5,1000.0,False,10000.0,6.673175776646975e-10
img_full,10.0,0.4999999999999999,0.9999999999999998,corr<0.5,562.0,False,10000.0,6.673175776646975e-10
img_full,20.0,0.9999999999999998,1.9999999999999996,corr<0.5,1334.0,False,10000.0,6.673175776646975e-10
img_rand,10.0,0.4999999999999999,0.9999999999999998,corr<0.5,24.0,False,10000.0,6.673175776646975e-10
img_rand,20.0,0.9999999999999998,1.9999999999999996,corr<0.5,100.0,False,10000.0,6.673175776646975e-10
img_rand,40.0,1.9999999999999996,3.999999999999999,corr<0.5,178.0,False,10000.0,6.673175776646975e-10
img_spp4,3.0,0.15,0.6,corr<0.5,1.0,False,10000.0,6.673175776646975e-10
img_spp4,5.0,0.24999999999999994,0.9999999999999998,corr<0.5,2.0,False,10000.0,6.673175776646975e-10
img_spp4,10.0,0.4999999999999999,1.9999999999999996,corr<0.5,562.0,False,10000.0,6.673175776646975e-10
preset,3.0,0.15,0.3,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,5.0,0.24999999999999994,0.4999999999999999,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,7.0,0.35,0.7,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,10.0,0.4999999999999999,0.9999999999999998,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,14.0,0.7,1.4,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,20.0,0.9999999999999998,1.9999999999999996,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,28.0,1.4,2.8,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,40.0,1.9999999999999996,3.999999999999999,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,56.99999999999999,2.8499999999999996,5.699999999999999,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
preset,80.0,3.999999999999999,7.999999999999998,corr<0.5,1.0,False,1000.0,6.673175776646975e-10
B_4f,16.0,0.25196850393700787,0.5039370078740157,width×>1.5,1.0,False,10000.0,2.6692703106587904e-09
B_4f,32.0,0.5039370078740157,1.0078740157480315,width×>1.5,237.0,False,10000.0,2.6692703106587904e-09
B_4f,64.0,1.0078740157480315,2.015748031496063,width×>1.5,10000.0,True,10000.0,2.6692703106587904e-09
B_4f,128.0,2.015748031496063,4.031496062992126,width×>1.5,10000.0,True,10000.0,2.6692703106587904e-09
C_mla,32.0,0.5039370078740157,1.0078740157480315,width×>1.5,1.0,False,10000.0,2.726693434470102e-10
C_mla,64.0,1.0078740157480315,2.015748031496063,width×>1.5,1.0,False,10000.0,2.726693434470102e-10
C_mla,96.0,1.5118110236220472,3.0236220472440944,width×>1.5,1.0,False,10000.0,2.726693434470102e-10
C_mla,128.0,2.015748031496063,4.031496062992126,width×>1.5,2.0,False,10000.0,2.726693434470102e-10
bistable,20.0,0.9999999999999998,1.9999999999999996,width×>1.5,24.0,False,300.0,6.673175776646975e-10
img,3.0,0.15,0.3,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img,5.0,0.24999999999999994,0.4999999999999999,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img,7.0,0.35,0.7,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img,10.0,0.4999999999999999,0.9999999999999998,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img,14.0,0.7,1.4,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img,20.0,0.9999999999999998,1.9999999999999996,width×>1.5,316.0,False,100000.0,6.673175776646975e-10
img,28.0,1.4,2.8,width×>1.5,750.0,False,100000.0,6.673175776646975e-10
img,40.0,1.9999999999999996,3.999999999999999,width×>1.5,1778.0,False,100000.0,6.673175776646975e-10
img,56.99999999999999,2.8499999999999996,5.699999999999999,width×>1.5,100000.0,True,100000.0,6.673175776646975e-10
img,80.0,3.999999999999999,7.999999999999998,width×>1.5,100000.0,True,100000.0,6.673175776646975e-10
img_ferr1e2,10.0,0.4999999999999999,0.9999999999999998,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img_ferr1e2,20.0,0.9999999999999998,1.9999999999999996,width×>1.5,24.0,False,10000.0,6.673175776646975e-10
img_ferr1e2,40.0,1.9999999999999996,3.999999999999999,width×>1.5,133.0,False,10000.0,6.673175776646975e-10
img_ferr1e3,10.0,0.4999999999999999,0.9999999999999998,width×>1.5,1.0,False,10000.0,6.673175776646975e-10
img_ferr1e3,20.0,0.9999999999999998,1.9999999999999996,width×>1.5,133.0,False,10000.0,6.673175776646975e-10
img_ferr1e3,40.0,1.9999999999999996,3.999999999999999,width×>1.5,1000.0,False,10000.0,6.673175776646975e-10
