hardware,slmPower_D,corrH,fidelityH,bestCorr,bestAt,H
ferr1e2,-4,0.019040061256135787,0.0028340229468677555,0.9993219828240162,1,100
ferr1e2,-3.8,0.011914271804630632,0.00205520916870355,0.9993312045809492,1,100
ferr1e2,-3.6,0.006069899056525858,0.0014927756851527254,0.9993310527009385,1,100
ferr1e2,-3.4,0.010263126660751838,0.0026694090024261276,0.9993480591961041,1,100
ferr1e2,-3.2,0.005734486427918573,0.0021723577092895353,0.9993360845437769,1,100
ferr1e2,-3,0.004130788254494716,0.0025116924595505836,0.9993422456506844,1,100
ferr1e2,-2.8,-0.0017213923800996813,0.00021052810835657423,0.9993228183455604,1,100
ferr1e2,-2.5999999999999996,-0.002202900361077825,0.0002979131965213031,0.999314304010783,1,100
ferr1e2,-2.4,0.0013053731834140104,0.002715936919001069,0.9993163290300221,1,100
ferr1e2,-2.2,-0.0024610317011120823,0.00041772254197302525,0.9993269982044636,1,100
ferr1e2,-2,-0.002960750579200052,0.00004137959532021449,0.9993263178365513,1,100
ferr1e2,-1.7999999999999998,-0.0027243597489731686,0.0001420512815734722,0.9993154738116745,1,100
ferr1e2,-1.5999999999999996,0.008375573083947327,0.00492872389378989,0.9993036403354713,1,100
ferr1e2,-1.4,0.007885056954424478,0.0071126652672884065,0.999312094073599,1,100
ferr1e2,-1.1999999999999997,0.052879084893215605,0.02748552260415642,0.9993023904805094,1,100
ferr1e2,-1,0.12321202014499262,0.0627946835264252,0.9993098252413519,1,100
ferr1e2,-0.7999999999999998,0.11948473581379003,0.058690672191957664,0.9992899194602102,1,100
ferr1e2,-0.5999999999999996,0.16789009722501774,0.09598760593999721,0.9992880214150981,1,100
ferr1e2,-0.3999999999999999,0.23820527448433657,0.12409177775233501,0.9993168806774257,1,100
ferr1e2,-0.19999999999999973,0.3933357482746955,0.17321213791889972,0.999293415647307,1,100
ferr1e2,0,0.38653351816958836,0.14507394227972242,0.9992917883296163,1,100
ferr1e2,0.20000000000000018,0.3354399983204984,0.09291277650288451,0.9992885020285643,1,100
ferr1e2,0.40000000000000036,0.4831603423532718,0.09972431991113656,0.9992505023101574,1,100
ferr1e2,0.6000000000000005,0.5504768772549944,0.09184125166856427,0.9992962178859758,1,100
ferr1e2,0.8000000000000007,0.6601672077358112,0.11116423041371927,0.9992961521854347,1,100
ferr1e2,1,0.48845458469858877,0.06037726432971124,0.9992656295577274,1,100
ferr1e2,1.2000000000000002,0.5413291081180769,0.12509116545236215,0.9992763767248596,1,100
ferr1e2,1.4000000000000004,0.30629449669377984,0.06764558552692505,0.9992594153061117,1,100
ferr1e2,1.6000000000000005,0.12912361867344255,0.02208886428516054,0.9992736770372844,1,100
ferr1e2,1.8000000000000007,0.061024911947721965,0.001029712483855629,0.9992508838849387,1,100
ferr1e2,2,0.09350364530024015,0.0014520767373190915,0.9992310618618778,1,100
ferr1e2,2.2,0.16853492926347904,0.010229731987185875,0.9992255381006376,1,100
ferr1e2,2.4000000000000004,0.1415120367163432,0.005433546772005302,0.9992467389681219,1,100
ferr1e2,2.6000000000000005,0.13225957308613065,0.01351014721296463,0.9992485108522778,1,100
ferr1e2,2.8000000000000007,0.24387234693824011,0.03141554797867793,0.9992307942481886,1,100
ferr1e2,3,0.2605583990585426,0.03849939137971221,0.9991921924122797,1,100
ferr1e2,3.2,0.24317840153447456,0.02917667089014361,0.9991937103654145,1,100
ferr1e2,3.4000000000000004,0.26254293345259977,0.01916753074641479,0.9991652459167248,1,100
ferr1e2,3.6000000000000005,0.1550930158268395,0.014281960605505998,0.9992065695393967,1,100
ferr1e2,3.8000000000000007,0.11395517255367106,0.009516721491770639,0.9991988293237873,1,100
ferr1e2,4,0.07947669809393201,0.023528597764494036,0.9992151129563009,1,100
ferr1e2,0.7000000000000007,0.5449255301327052,0.08669056355757834,0.9992990416588743,1,100
ferr1e2,0.9000000000000007,0.609998689157799,0.08542513676010645,0.9992893908183972,1,100
ferr1e2,0.7500000000000007,0.6759412661122121,0.13553610458997886,0.999309140772091,1,100
ferr1e2,0.8500000000000008,0.6569508791446677,0.08500935134905413,0.9992879010910318,1,100
ferr1e2,0.7250000000000006,0.5462275825269056,0.07852445722478463,0.9992808341080479,1,100
ferr1e2,0.7750000000000007,0.6802546683510194,0.1368926935261435,0.9993091522519398,1,100
ferr1e2,0.7625000000000007,0.6754162078392644,0.13433959422445918,0.999309139519786,1,100
ferr1e2,0.7875000000000006,0.6525172180012504,0.11304809215888882,0.9992962202482054,1,100
ferr1e2,0.7687500000000007,0.6802521259615982,0.1388868499659753,0.9993091607336094,1,100
ferr1e2,0.7812500000000007,0.6833298475691943,0.11873378904239966,0.9992948024289855,1,100
ferr1e2,0.7781250000000006,0.6805382729565674,0.13693025194718542,0.9993091522519396,1,100
ferr1e2,0.7843750000000007,0.6831575933200258,0.11845060547326905,0.9992948024287356,1,100
preset,-4,0.47511164742567963,0.1489367453772769,0.9780132853800464,30,100
preset,-3.8,0.5664380552749698,0.20838978464337174,0.9871628419838947,44,100
preset,-3.6,0.723736977691703,0.38188813048219905,0.9824943775438619,58,100
preset,-3.4,0.8929824138807947,0.7296149248850802,0.9851112302735762,72,100
preset,-3.2,0.942293132215238,0.6262098503657547,0.9864300423476039,14,100
preset,-3,0.11357710683276384,0.08802973749738105,0.993283400694418,14,100
preset,-2.8,0.13829860068755837,0.0596275856361301,0.9945233344511877,14,100
preset,-2.5999999999999996,0.13321056264365122,0.04378094263565427,0.9911999072144478,14,100
preset,-2.4,0.14991242474846908,0.043185662476965044,0.9896981391762845,96,100
preset,-2.2,0.10058211821327664,0.025696551060974675,0.9915616133733337,68,100
preset,-2,0.0051288918495607455,0.0008455832615263532,0.9906921700315038,54,100
preset,-1.7999999999999998,-0.0030100930398567257,0.00020980760978580218,0.9943920115644822,40,100
preset,-1.5999999999999996,0.02749973265307027,0.005833073947385056,0.9916244181029912,66,100
preset,-1.4,0.21327894045460463,0.03279225099078743,0.9889820811415221,92,100
preset,-1.1999999999999997,0.32518882892394646,0.07651156725213319,0.9958624034558359,26,100
preset,-1,0.34766750256376133,0.09430303739055824,0.9912337676091731,26,100
preset,-0.7999999999999998,0.348549120545958,0.11063504175478829,0.9949952787275128,64,100
preset,-0.5999999999999996,0.4561206226763569,0.1884429843924414,0.99396658493818,38,100
preset,-0.3999999999999999,0.6296054078968865,0.38838788015675674,0.9942397243414203,38,100
preset,-0.19999999999999973,0.9823262194203579,0.8875287428551613,0.9939350181612012,50,100
preset,0,0.9577281934384506,0.800086107597355,0.9905459040209285,50,100
preset,0.20000000000000018,0.4518526183511522,0.24417071204393634,0.9954149865369111,74,100
preset,0.40000000000000036,0.2654888451194075,0.1134372881995136,0.9946836374199985,98,100
preset,0.6000000000000005,0.18915703857931163,0.06847025078194112,0.9949663204837605,12,100
preset,0.8000000000000007,0.16824406393578445,0.05178121063451835,0.9978329870852574,12,100
preset,1,0.11144096670094135,0.027728077180918853,0.9980240949427593,12,100
preset,1.2000000000000002,0.007779848782224536,0.001993714166760513,0.9956615861213511,12,100
preset,1.4000000000000004,-0.002767286445938528,0.00009013706960572626,0.9890388340183385,12,100
preset,1.6000000000000005,0.0006044021249456934,0.002985166917372675,0.9938379295171049,82,100
preset,1.8000000000000007,0.19324409040915053,0.029105632680186476,0.9968652901002103,58,100
preset,2,0.33424479323143585,0.0715566007117439,0.9961998653584345,46,100
preset,2.2,0.4420053588934511,0.12101529998083979,0.995924526706243,80,100
preset,2.4000000000000004,0.45875412577404123,0.15497142923010215,0.9968348798405606,34,100
preset,2.6000000000000005,0.4687826887638962,0.19374290608214398,0.9946919100226215,34,100
preset,2.8000000000000007,0.6784826708427141,0.4303691311504385,0.9970779648438517,56,100
preset,3,0.9901667095663652,0.9179921247990228,0.9960992855224342,78,100
preset,3.2,0.9164854443722942,0.7269833653116035,0.9958356848195496,22,100
preset,3.4000000000000004,0.5138005486039516,0.29277579952201216,0.9979048645330701,22,100
preset,3.6000000000000005,0.42339826017279025,0.19357555831207177,0.9928274399289178,22,100
preset,3.8000000000000007,0.23554767100396526,0.09341403751712984,0.9953606768705362,76,100
preset,4,0.20669412496059827,0.07145493362190099,0.9944834800795491,54,100
preset,2.9,0.8961398454021329,0.674757857843068,0.9924731556277927,56,100
preset,3.1,0.9922587553753797,0.9464776162439972,0.9922587553753797,100,100
preset,3.0500000000000003,0.9965683712727161,0.9779937635643736,0.9965683712727161,100,100
preset,3.15,0.9789488787817765,0.9000705913790532,0.9935408103525086,22,100
preset,3.0250000000000004,0.9955373710568551,0.9656623444638831,0.9955373710568551,100,100
preset,3.075,0.9953343406584195,0.9693040825562343,0.9953343406584195,100,100
preset,3.0375,0.996411016203178,0.9742527761969428,0.996411016203178,100,100
preset,3.0625000000000004,0.9960400998191185,0.9748532014125367,0.9960400998191185,100,100
preset,3.04375,0.9966186506794021,0.9777104715863709,0.9966186506794021,100,100
preset,3.0562500000000004,0.9963892814784612,0.9788758085739087,0.9963892814784612,100,100
preset,3.0406250000000004,0.9965568509504035,0.9753474970765466,0.9965568509504035,100,100
preset,3.046875,0.9965484238936374,0.9779564721901154,0.9965484238936374,100,100
