condition,sigma0_um,sigma0_samples,sigma0_pixels,cycle,time_s,corr,fidelity,phaseCoherence,sigma_um,sigmaLocal_um,fwhm_um,width_ratio,fwhm_ratio,drift_um,driftLocal_um,logEnergy,peak_rel,leakage,gain_last,corr_vs_half
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,0,0,1,1,1,10.000001056161343,9.99166837568854,22.567583341910254,1,1,0,3.0304371987881755e-14,0,1,0.000189785245999885,1,1
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,1,6.673175776646975e-10,0.9203611643822123,0.8079942006555171,0.9963025169760655,48.314643094978585,13.813202246419864,39.08820095223359,4.831463799217329,1.7320508075688772,3.3182957920138083,0.06557087202967331,-0.5306131823598591,0.487876401638994,0.08331115266251443,0.5882441581269675,0.9203611643822123
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,2,1.334635155329395e-9,0.8636452036937478,0.7689677377047637,0.9922028784196113,32.71000170833073,14.654848738826841,45.13516668382051,3.270999825362716,2,0.260488716364054,0.12071237693849203,-0.9386568555879514,0.42171949452676505,0.06625270506969705,0.6649498376823153,0.9905246122432542
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,3,2.0019527329940924e-9,0.9099075981603296,0.8036205118384443,0.9967852308170789,42.99347892119923,14.131364122989343,39.08820095223359,4.299347438039466,1.7320508075688772,2.393045331347083,0.3591895284310103,-1.3336216463982469,0.4733261918160134,0.07279996478796324,0.6737037593947509,0.9922887303442368
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,4,2.66927031065879e-9,0.9258210414442843,0.8231574437257462,0.997322979875714,30.47052557462904,13.832208055998372,39.08820095223359,3.0470522356450256,1.7320508075688772,0.14329577963486897,0.7159618044378266,-1.7228788816089786,0.5405516912902613,0.06910561327344822,0.6775599553171041,0.9968450949633128
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,6,4.003905465988185e-9,0.8948942099047488,0.7939725832884443,0.9955019517334661,29.74451791134389,14.46660696244324,40.6842894512822,2.9744514769843224,1.8027756377319946,0.17476397547519384,0.1931939784834627,-2.4939596672045274,0.4636906774430745,0.061248175518978654,0.6805314141549182,0.9890043490991451
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,7,4.671223043652883e-9,0.9038217922313715,0.797732784963521,0.9970398192025415,38.94031865546276,14.291924270426835,39.08820095223359,3.894031454273726,1.7320508075688772,1.7924680601021425,0.6558689642084242,-2.8777676753900385,0.4661804063219191,0.07110914646733257,0.6812622113925041,0.9973935196878229
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,10,6.673175776646975e-9,0.9063366143334267,0.8065910154416318,0.9972940262212917,30.34649161613602,14.181173207400752,39.08820095223359,3.034648841105722,1.7320508075688772,0.3199453416206736,0.675445249417208,-4.026757776158261,0.4707978921089855,0.06684677950996165,0.6821635574569811,0.9988712274537603
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,13,8.675128509641068e-9,0.8989735916785025,0.7868469455421974,0.9971266968535041,38.64991196156118,14.406547061599031,40.6842894512822,3.8649907879507315,1.8027756377319946,1.19601153337195,1.127528741477872,-5.172293029437265,0.464345597202104,0.07689094035779842,0.6825698829236566,0.9976490100071327
img_ferr1e3,10,0.9999999999999998,0.4999999999999999,18,1.2011716397964554e-8,0.9138478861777625,0.7902351479547235,0.99773898419358,32.25914941149971,14.230886034607947,39.08820095223359,3.225914600441341,1.7320508075688772,0.7246384991275365,1.726999692803995,-7.078797656518658,0.509306703764345,0.08491202562816402,0.6830953081509047,0.9977248611048969
