condition,sigma0_um,sigma0_samples,sigma0_pixels,cycle,time_s,corr,fidelity,phaseCoherence,sigma_um,sigmaLocal_um,fwhm_um,width_ratio,fwhm_ratio,drift_um,driftLocal_um,logEnergy,peak_rel,leakage,gain_last,corr_vs_half
img,56.99999999999999,5.699999999999999,2.8499999999999996,0,0,1,1,1,56.99999999999996,55.50320870181709,137.27325035155397,1,1,0,8.159701876572675e-14,0,1,0.011462806333238151,1,1
img,56.99999999999999,5.699999999999999,2.8499999999999996,1,6.673175776646975e-10,0.9999999890046964,0.9999997828158464,0.9999998996801043,57.006186069203885,55.50809255413548,137.27325035155397,1.0001085275298935,1,0.007848455192861361,0.007470539429233808,-0.3796286421236792,0.9997987162965105,0.011473777261695295,0.684115413693342,0.9999999890046964
img,56.99999999999999,5.699999999999999,2.8499999999999996,2,1.334635155329395e-9,0.9999999561091114,0.9999991313600585,0.9999995986888413,57.01236688589612,55.5129688712744,137.27325035155397,1.0002169629104591,1,0.01567532506530982,0.014917495570669941,-0.759257284196848,0.9996008565139213,0.01148478585327084,0.6841154137278969,0.9999999890475673
img,56.99999999999999,5.699999999999999,2.8499999999999996,3,2.0019527329940924e-9,0.9999999014292311,0.9999980456234896,0.9999990969514412,57.01854245761134,55.51784086515644,137.27325035155397,1.000325306273884,1,0.023480596978297148,0.022342601217000664,-1.1388859262523439,0.9994027000440281,0.011495790819364582,0.6841154137399872,0.9999999890871684
img,56.99999999999999,5.699999999999999,2.8499999999999996,4,2.66927031065879e-9,0.9999998250829962,0.9999965256074266,0.9999983943943754,57.024712777815395,55.52270854844239,137.27325035155397,1.000433557505534,1,0.03126426645057181,0.029745911525382307,-1.5185145682980061,0.9992044156481441,0.011506790481125462,0.6841154137467145,0.9999999891266279
img,56.99999999999999,5.699999999999999,2.8499999999999996,6,4.003905465988185e-9,0.9999996078641059,0.999992182747464,0.9999963865298463,57.03703764209096,55.53243007197371,137.27325035155397,1.000649783194579,1,0.04676678585831219,0.04448913916371026,-2.2777718523699955,0.9988077506840762,0.011528779831077918,0.6841154137551916,0.9999999567431631
img,56.99999999999999,5.699999999999999,2.8499999999999996,7,4.671223043652883e-9,0.9999994672283437,0.9999893599127753,0.9999950810780326,57.04319217584631,55.53728366237048,137.27325035155397,1.0007577574709885,1,0.054485630887483316,0.0518292042980598,-2.657400494399275,0.9986094835985146,0.01153977117219962,0.6841154137579224,0.9999999892448614
img,56.99999999999999,5.699999999999999,2.8499999999999996,10,6.673175776646975e-9,0.9999989186358615,0.9999782858695783,0.9999899577890358,57.061624112807216,55.55181527641275,137.27325035155397,1.0010811247860922,1,0.07751247733888927,0.07372273263969366,-3.7962864204722346,0.9980154139355265,0.011572733153028869,0.6841154137629177,0.9999999039111978
img,56.99999999999999,5.699999999999999,2.8499999999999996,13,8.675128509641068e-9,0.9999981824891466,0.9999633036973936,0.9999830226222539,57.08000843985229,55.566302737724186,137.27325035155397,1.0014036568395148,1,0.10034474121226121,0.09542655242850143,-4.935172346527415,0.9974225392766298,0.011605679227502996,0.684115413766273,0.9999999049676119
img,56.99999999999999,5.699999999999999,2.8499999999999996,18,1.2011716397964554e-8,0.9999965473836651,0.9999296495293528,0.9999674325580258,57.11054277755213,55.59034943784924,137.27325035155397,1.0019393469745996,1,0.13796593917203132,0.13117754517490293,-6.833315556594804,0.9964374916952775,0.011660556476230544,0.6841154137700255,0.9999997399076984
img,56.99999999999999,5.699999999999999,2.8499999999999996,24,1.601562186395274e-8,0.9999939296254018,0.9998749385466151,0.9999420622570234,57.14700789385206,55.6190409044881,137.27325035155397,1.0025790858570545,1,0.1823972803341212,0.1733827696818377,-9.111087408648395,0.9952606192103363,0.011726355391484922,0.6841154137729678,0.999999633085235
img,56.99999999999999,5.699999999999999,2.8499999999999996,32,2.135416248527032e-8,0.999989367403576,0.9997776872901158,0.999896906694746,57.19532729054807,55.657015735647995,137.27325035155397,1.0034267945710196,1,0.24042648493910299,0.22847530635715407,-12.14811654468758,0.9937009897136347,0.01181398633840225,0.6841154137756613,0.9999993647052122
