B_4f_532 t 1 {'t': 1, 'self_mean': 0.90904, 'self_min': 0.15321, 'nn_mean': 0.04484, 'nn_max': 0.08264, 'nnn_mean': 0.00654, 'far_max': 0.00022, 'retained_mean': 0.93364, 'r_interaction_um': 198.42975, 'erank_entropy': 53.82133, 'rank_gt_0p1': 60, 'rank_gt_0p01': 64}
B_4f_532 t 2 {'t': 2, 'self_mean': 0.88697, 'self_min': 0.09748, 'nn_mean': 0.04422, 'nn_max': 0.08326, 'nnn_mean': 0.00655, 'far_max': 0.00054, 'retained_mean': 0.91541, 'r_interaction_um': 200.32367, 'erank_entropy': 53.39682, 'rank_gt_0p1': 59, 'rank_gt_0p01': 64}
B_4f_532 t 4 {'t': 4, 'self_mean': 0.8607, 'self_min': 0.06536, 'nn_mean': 0.04351, 'nn_max': 0.08383, 'nnn_mean': 0.00657, 'far_max': 0.00116, 'retained_mean': 0.89512, 'r_interaction_um': 203.89035, 'erank_entropy': 52.9882, 'rank_gt_0p1': 59, 'rank_gt_0p01': 64}
B_4f_532 t 8 {'t': 8, 'self_mean': 0.8302, 'self_min': 0.0436, 'nn_mean': 0.04269, 'nn_max': 0.08418, 'nnn_mean': 0.00658, 'far_max': 0.00218, 'retained_mean': 0.8737, 'r_interaction_um': 209.33712, 'erank_entropy': 52.52544, 'rank_gt_0p1': 59, 'rank_gt_0p01': 64}
B_4f_532 t 16 {'t': 16, 'self_mean': 0.79604, 'self_min': 0.02888, 'nn_mean': 0.04176, 'nn_max': 0.08398, 'nnn_mean': 0.00657, 'far_max': 0.00364, 'retained_mean': 0.85113, 'r_interaction_um': 217.08852, 'erank_entropy': 51.99637, 'rank_gt_0p1': 59, 'rank_gt_0p01': 64}
B_4f_532 t 32 {'t': 32, 'self_mean': 0.75612, 'self_min': 0.01887, 'nn_mean': 0.04052, 'nn_max': 0.08237, 'nnn_mean': 0.00652, 'far_max': 0.00495, 'retained_mean': 0.82713, 'r_interaction_um': 224.37103, 'erank_entropy': 51.3898, 'rank_gt_0p1': 57, 'rank_gt_0p01': 64}
B_4f_532 t 64 {'t': 64, 'self_mean': 0.7004, 'self_min': 0.01211, 'nn_mean': 0.03829, 'nn_max': 0.08061, 'nnn_mean': 0.00628, 'far_max': 0.00541, 'retained_mean': 0.80221, 'r_interaction_um': 228.94179, 'erank_entropy': 50.7619, 'rank_gt_0p1': 57, 'rank_gt_0p01': 64}
B_4f_532 t 128 {'t': 128, 'self_mean': 0.58824, 'self_min': 0.00755, 'nn_mean': 0.03272, 'nn_max': 0.08108, 'nnn_mean': 0.00548, 'far_max': 0.00615, 'retained_mean': 0.7762, 'r_interaction_um': 237.76712, 'erank_entropy': 50.27804, 'rank_gt_0p1': 56, 'rank_gt_0p01': 64}
B_4f_532 t 1024 {'t': 1024, 'self_mean': 0.02261, 'self_min': 0.0, 'nn_mean': 0.0033, 'nn_max': 0.11008, 'nnn_mean': 0.00118, 'far_max': 0.0075, 'retained_mean': 0.63192, 'r_interaction_um': 432.76458, 'erank_entropy': 23.23053, 'rank_gt_0p1': 13, 'rank_gt_0p01': 45}
B_4f_532 t 16384 {'t': 16384, 'self_mean': 0.04558, 'self_min': 0.0, 'nn_mean': 0.00378, 'nn_max': 0.09253, 'nnn_mean': 0.00086, 'far_max': 0.00053, 'retained_mean': 0.49202, 'r_interaction_um': 228.57868, 'erank_entropy': 17.56002, 'rank_gt_0p1': 12, 'rank_gt_0p01': 32}
