q,t,time_s,decoded,expected,ok,best_overlap,second_overlap,contrast,near_plus,near_minus,energy
12,23,1.5348304286288048e-8,11,11,1,1,0.3210606960352511,3.1146758614458503,0.00005482667103938186,0.5917472157473206,25.132741228718285
12,24,1.6015621863952746e-8,0,0,1,0.9992666960618375,0.32093504670956907,3.1136103903483194,0.7220210273784128,0.00006333423960004959,25.132741228718285
12,25,1.6682939441617444e-8,1,1,1,0.9992746870924405,0.32094292941712765,3.113558815292326,0.00004365423653346595,0.49790771838732895,25.13274122871823
12,26,1.735025701928214e-8,2,2,1,0.9992683712306493,0.32139107989605253,3.109197590530025,0.03407174589937275,0.00007941293257600285,25.1327412287184
12,27,1.8017574596946836e-8,3,3,1,0.9992775246470331,0.3214025756233323,3.1091148622845397,0.03970305835799553,0.00025218730263439055,25.1327412287182
12,28,1.8684892174611534e-8,4,4,1,0.9992939170779805,0.3214725327946237,3.1084892646688127,0.00004005525520962376,0.36628584674392756,25.132741228718395
12,29,1.9352209752276232e-8,5,5,1,0.999300776259656,0.32169836265638047,3.106328450067528,0.5911549183703402,0.00008282173961177752,25.132741228718245
12,30,2.001952732994093e-8,6,6,1,0.999294974724118,0.32170915942386535,3.1062061661959235,0.00009229130311673955,0.7215382686197053,25.1327412287184
12,31,2.068684490760563e-8,7,7,1,0.9992976651465078,0.329957164916804,3.02856786091756,0.5012128751991841,0.00006889932806357575,25.13274122871837
12,32,2.1354162485270326e-8,8,8,1,0.9992998333968429,0.32994966152714966,3.0286433050776633,0.00010778959063677775,0.03492589391770816,25.132741228718277
12,33,2.2021480062935024e-8,9,9,1,0.9993010269442261,0.3298615417393481,3.029456000462944,0.0002705880626642884,0.03909119182909464,25.132741228718263
12,34,2.2688797640599722e-8,10,10,1,0.9993010486860536,0.3297605426059686,3.0303839288623444,0.3641557840599854,0.0000512188358781614,25.13274122871824
12,35,2.335611521826442e-8,11,11,1,0.9993029306392222,0.32968710078808944,3.0310646920988784,0.0001094182646105799,0.5901999246535082,25.13274122871828
12,36,2.402343279592912e-8,0,0,1,0.9981738475557435,0.32978111372101787,3.026776871158729,0.72088775198934,0.0001254665792939432,25.13274122871834
12,37,2.4690750373593816e-8,1,1,1,0.9981878630978409,0.3296423044402594,3.0280939359187773,0.00008283357801088374,0.5044497719001411,25.132741228718416
12,38,2.535806795125851e-8,2,2,1,0.9982345581905421,0.32970432185471765,3.027665978338035,0.035851605495865524,0.00013650131362760322,25.13274122871839
12,39,2.602538552892321e-8,3,3,1,0.9982503949891804,0.3298582948343489,3.0263007194968083,0.03835458245422945,0.0002969895059395,25.132741228718356
12,40,2.6692703106587907e-8,4,4,1,0.9982619885970858,0.3300892993833588,3.0242179630237733,0.00007189975976808879,0.3622644305606779,25.1327412287183
12,41,2.7360020684252605e-8,5,5,1,0.9982919894191777,0.3302385167363954,3.0229423244897844,0.5896600771325778,0.0001417149171557714,25.13274122871829
12,42,2.8027338261917303e-8,6,6,1,0.9983072558988009,0.3299116678935278,3.0259834769499085,0.00017180262311323368,0.7198805481376962,25.132741228718295
12,43,2.8694655839582e-8,7,7,1,0.9982950014381397,0.3383962131262547,2.9500773434059635,0.5075652941919117,0.00010848711862290224,25.132741228718228
12,44,2.93619734172467e-8,8,8,1,0.9982878499763347,0.33851280274554346,2.949040160016451,0.000170465091800478,0.03677421488226638,25.13274122871833
12,45,3.00292909949114e-8,9,9,1,0.998284965534054,0.3383479184287787,2.9504687664989735,0.0003226831554092641,0.03769850347370977,25.132741228718217
12,46,3.0696608572576095e-8,10,10,1,0.9982973529017088,0.3382628101464489,2.951247736839595,0.36021188093608814,0.00009806578097093941,25.132741228718324
12,47,3.136392615024079e-8,11,11,1,0.9982804530508756,0.3384666257800793,2.949420643025272,0.00019484876632735627,0.5885183729308798,25.13274122871831
12,48,3.203124372790549e-8,0,0,1,0.9964870447867508,0.3382656214093803,2.945871474124085,0.7189349561343481,0.0002365765576532329,25.132741228718242
12,49,3.269856130557019e-8,1,1,1,0.9965436783586236,0.3380160428959396,2.9482141433902767,0.00014120863129148155,0.5105417950718166,25.132741228718285
