q,t,time_s,decoded,expected,ok,best_overlap,second_overlap,contrast,near_plus,near_minus,energy
5,9,6.00585819898228e-9,4,4,1,1,0.0006384448669540113,1566.3059596217763,0.000008574990866391883,0.6017433050896746,25.132741228718196
5,10,6.673175776646977e-9,0,0,1,0.999416442267996,0.0006514944049207817,1534.0368769391348,0.7294441110601229,0.000007598258547298742,25.13274122871827
5,11,7.340493354311675e-9,1,1,1,0.9994414952695309,0.000641996839996885,1556.7701163052145,0.00004630832480581309,0.31637046689785847,25.132741228718373
5,12,8.007810931976373e-9,2,2,1,0.9994544716242313,0.0008023493971659376,1245.6599022252765,0.001076429345501147,0.0015108505231299911,25.132741228718174
5,13,8.67512850964107e-9,3,3,1,0.9994642598485228,0.0007829632701434063,1276.5148736357232,0.2640375702153199,0.0000404666950526667,25.132741228718285
5,14,9.342446087305767e-9,4,4,1,0.9994545709484167,0.0007873933226596894,1269.3206078664957,0.000018387703674957135,0.6034722310742366,25.13274122871823
5,15,1.0009763664970465e-8,0,0,1,0.9987096440245308,0.0008061414556541874,1238.8764242549387,0.7300081241835312,0.000016778727060287773,25.132741228718398
5,16,1.0677081242635163e-8,1,1,1,0.9987704680875136,0.00081367540757272,1227.480219743831,0.00007370277747217164,0.3206706605417831,25.132741228718327
5,17,1.1344398820299861e-8,2,2,1,0.9988113050312277,0.001033652763845073,966.2928789700721,0.001334212547009834,0.0016654005339284854,25.132741228718242
5,18,1.201171639796456e-8,3,3,1,0.9988217110862018,0.001032732394541193,967.1641137295237,0.2581016004801147,0.0000755500680058165,25.13274122871821
5,19,1.2679033975629256e-8,4,4,1,0.998835596008324,0.0010317168919964951,968.1295360740464,0.0000290149156456394,0.6049076405137196,25.132741228718512
5,20,1.3346351553293954e-8,0,0,1,0.9976768649103035,0.0010446722339915555,955.0142450884438,0.7307456022015965,0.000028279956311787976,25.132741228718242
5,21,1.4013669130958652e-8,1,1,1,0.9978066450887121,0.001036760954789225,962.4269128572339,0.00009641532034098044,0.3243126864970486,25.132741228718153
5,22,1.468098670862335e-8,2,2,1,0.9978783755526431,0.0012953888503931211,770.3311443894315,0.0016455865398781538,0.0018380922365434892,25.132741228718217
5,23,1.5348304286288048e-8,3,3,1,0.9979150745353187,0.0012804625126844335,779.3395469604444,0.2532786038367124,0.00011832871439012682,25.13274122871829
5,24,1.6015621863952746e-8,4,4,1,0.9979220669360855,0.0012736815900327315,783.4941438624709,0.000039574866911224946,0.6068160552215452,25.13274122871834
5,25,1.6682939441617444e-8,0,0,1,0.9963806468910171,0.0013019299193278188,765.310507193386,0.7310062602363411,0.0000435662753406611,25.13274122871827
5,26,1.735025701928214e-8,1,1,1,0.9965035586402851,0.0013094076792670183,761.0338433314434,0.00011517307132199702,0.32802050522439785,25.1327412287182
5,27,1.8017574596946836e-8,2,2,1,0.996628180095505,0.0016306433211333829,611.1871107427687,0.001995882748238222,0.00200974364448062,25.132741228718313
5,28,1.8684892174611534e-8,3,3,1,0.9966490688622663,0.0016337739389088246,610.0287470174208,0.24836003483003438,0.00017536929429826762,25.13274122871828
5,29,1.9352209752276232e-8,4,4,1,0.9966709534770183,0.0016236177367485267,613.858133548702,0.00006925288255205614,0.6080716489732186,25.132741228718274
5,30,2.001952732994093e-8,0,0,1,0.9947916691860422,0.0016480066656034617,603.6332801007044,0.7312723273703773,0.000056858321134839956,25.132741228718373
5,31,2.068684490760563e-8,1,1,1,0.9949279065458373,0.001644063203091782,605.1640257350217,0.0001424187636700032,0.3321576125070793,25.132741228718135
5,32,2.1354162485270326e-8,2,2,1,0.9950799050481368,0.001990333610647726,499.9563388392472,0.002396827916688464,0.002147785323312245,25.132741228718373
5,33,2.2021480062935024e-8,3,3,1,0.9951657315339655,0.0019721199590094023,504.6172404410116,0.24318070008374876,0.0002504255222701783,25.13274122871829
5,34,2.2688797640599722e-8,4,4,1,0.9952009342009295,0.0019708724252676703,504.95451732030205,0.00009233631067098477,0.6100395011134645,25.132741228718125
5,35,2.335611521826442e-8,0,0,1,0.9929649164342469,0.0019946563642230077,497.81252262017745,0.731306950012102,0.00007524721952023872,25.13274122871827
5,36,2.402343279592912e-8,1,1,1,0.9930873654096098,0.002027123134429927,489.8998726532163,0.00016574920057574696,0.33622961965185855,25.132741228718338
5,37,2.4690750373593816e-8,2,2,1,0.9932449144128818,0.0024395687064644963,407.13955371739667,0.002845570081608138,0.0023103590060749722,25.13274122871826
5,38,2.535806795125851e-8,3,3,1,0.9933227872785698,0.0024138400523148374,411.51143644583567,0.23859554214776035,0.00032839126915919177,25.132741228718274
5,39,2.602538552892321e-8,4,4,1,0.9933852678031208,0.002418698039220376,410.71074259576477,0.0001254414709510176,0.611228816957377,25.132741228718274
5,40,2.6692703106587907e-8,0,0,1,0.9908769393483273,0.0024321030926575103,407.4156816541917,0.7314017679405549,0.00009633801291377694,25.132741228718313
5,41,2.7360020684252605e-8,1,1,1,0.9910331907703113,0.0024277290692026657,408.21408094594113,0.00020060094830661682,0.34002267614988246,25.132741228718487
5,42,2.8027338261917303e-8,2,2,1,0.9912139549883214,0.0028699755694645145,345.373655976195,0.003339564540398739,0.0025036850546367737,25.132741228718277
5,43,2.8694655839582e-8,3,3,1,0.9913230610043956,0.0028242026515105877,351.0098896317389,0.23430328019493904,0.0004291863136009871,25.132741228718224
5,44,2.93619734172467e-8,4,4,1,0.9913696407815757,0.0028000326964405845,354.0564515699441,0.0001593421766294084,0.6129579241641769,25.13274122871838
5,45,3.00292909949114e-8,0,0,1,0.9884580241696675,0.002831244154975835,349.12496770456175,0.7313496902825434,0.00012879437069522576,25.13274122871819
5,46,3.0696608572576095e-8,1,1,1,0.9886714053102406,0.0028054033285347425,352.4168504592963,0.00022866648965207543,0.34338033954004576,25.132741228718217
5,47,3.136392615024079e-8,2,2,1,0.9888237268224592,0.0033119563331117058,298.5618249058926,0.003779551184762502,0.0027135296772514616,25.13274122871822
5,48,3.203124372790549e-8,3,3,1,0.988933490732706,0.003303042209879139,299.40080322766806,0.22960127374985825,0.0005155448527041093,25.132741228718253
5,49,3.269856130557019e-8,4,4,1,0.9889681730676151,0.0033048679182355206,299.2458995443389,0.00018805585256283306,0.6143820948288147,25.132741228718054
5,50,3.336587888323489e-8,0,0,1,0.985797554290817,0.003314002585575336,297.4643286585351,0.7308008641446957,0.00015636832956610552,25.132741228718416
5,51,3.4033196460899585e-8,1,1,1,0.986031656852095,0.0033302337161053848,296.0848219401344,0.00027175596913675673,0.34705550347254616,25.132741228718423
5,52,3.470051403856428e-8,2,2,1,0.9863055379955599,0.0038892909209271393,253.59520746790568,0.004362315140408816,0.002949361440305646,25.13274122871834
5,53,3.536783161622898e-8,3,3,1,0.9864270419698432,0.0038531212261130737,256.0072689342621,0.22533746424610748,0.0006596716575210559,25.13274122871814
5,54,3.603514919389367e-8,4,4,1,0.9864976955835848,0.003852788931872122,256.0476872799342,0.00023163125820056712,0.6152399227144476,25.132741228718267
5,55,3.670246677155837e-8,0,0,1,0.9830374076819685,0.00386586189063845,254.28673747049433,0.730275308059721,0.0001780119859984662,25.13274122871834
5,56,3.736978434922307e-8,1,1,1,0.9832666492647791,0.003859036996885876,254.7958597075501,0.0003337193813949259,0.35041150757978357,25.132741228718235
5,57,3.8037101926887767e-8,2,2,1,0.9835472327357585,0.0044505445798507905,220.99480526240072,0.004888473097294657,0.0032229680591939138,25.132741228718217
5,58,3.8704419504552465e-8,3,3,1,0.9837159136765413,0.004430477838090044,222.03381883986947,0.22104740197513664,0.000818666541462966,25.132741228718114
5,59,3.937173708221716e-8,4,4,1,0.9838172959089343,0.004400644324878968,223.5621021101251,0.0002834864665597198,0.6156903801454725,25.132741228718277
5,60,4.003905465988186e-8,0,0,1,0.9799926877872814,0.0044360873033426045,220.9137514153191,0.7297504769296156,0.00019230482505567734,25.132741228718157
5,61,4.070637223754656e-8,1,1,1,0.9802638271221563,0.004462250164674788,219.67926291591021,0.000385292746567558,0.35392332850944025,25.132741228718285
5,62,4.137368981521126e-8,2,2,1,0.9805651567875403,0.005062941410629147,193.67499586879288,0.005536239342903627,0.003464799809044097,25.13274122871832
5,63,4.2041007392875955e-8,3,3,1,0.9807346898381746,0.00503533508850565,194.77049145685154,0.21686307765445806,0.0009744392887176147,25.132741228718352
5,64,4.270832497054065e-8,4,4,1,0.9808546006992332,0.004977811667322215,197.045341658512,0.0003318302687815066,0.6167224036274684,25.1327412287184
5,65,4.337564254820535e-8,0,0,1,0.97680992313926,0.004996268964390959,195.5078739957972,0.7287942510411968,0.0002054055632799205,25.132741228718338
5,66,4.404296012587005e-8,1,1,1,0.9770800396207698,0.004993846697548645,195.65679501142756,0.0004099473889203658,0.3572170928528199,25.132741228718164
5,67,4.471027770353475e-8,2,2,1,0.977482670375659,0.005656613495486842,172.80351064387702,0.006114426709518631,0.0036847528466844776,25.132741228718363
5,68,4.5377595281199445e-8,3,3,1,0.9776910978101484,0.005622843244649059,173.87841973730312,0.21332513805911987,0.0011321028765140847,25.132741228718224
5,69,4.604491285886414e-8,4,4,1,0.9778298441172599,0.005609893625021736,174.30452509043275,0.0003718870571914903,0.6175561388004414,25.13274122871832
5,70,4.671223043652884e-8,0,0,1,0.9734310736764381,0.00561144815755434,173.47234552385004,0.7282038274143985,0.00021541253754123118,25.132741228718356
5,71,4.737954801419354e-8,1,1,1,0.9737231564493556,0.005633359921174989,172.8494486548375,0.00044834227629028954,0.36047163536631466,25.13274122871843
5,72,4.804686559185824e-8,2,2,1,0.974041471007722,0.006345485007125461,153.50150065975302,0.006847536446050088,0.003948651074130142,25.132741228718313
5,73,4.8714183169522935e-8,3,3,1,0.9741746654009229,0.006322557394902459,154.0792126594767,0.20915191105335512,0.0013035719734938442,25.13274122871834
5,74,4.938150074718763e-8,4,4,1,0.9742216607810125,0.006305183087599077,154.51124055336228,0.00040419660758854843,0.6181667723246426,25.132741228718338
5,75,5.0048818324852324e-8,0,0,1,0.9696090833086409,0.006337547045210294,152.99438037962008,0.7272036923297964,0.00025474998405860275,25.132741228718288
5,76,5.071613590251702e-8,1,1,1,0.9699313020979606,0.006324374324299043,153.36399339478726,0.00047964701758154677,0.36379573093057477,25.132741228718384
5,77,5.138345348018172e-8,2,2,1,0.9703044216874337,0.007103043476692249,136.60403809597486,0.007553634205949357,0.004276542749398874,25.132741228718462
5,78,5.205077105784642e-8,3,3,1,0.9704391661071649,0.007100714874627498,136.6678120782978,0.20515359604156552,0.0014767636822259663,25.132741228718245
5,79,5.2718088635511116e-8,4,4,1,0.9705863055121262,0.007105486929141642,136.5967336498042,0.0004538100611841695,0.6181063798280425,25.1327412287182
5,80,5.3385406213175814e-8,0,0,1,0.9656775163435711,0.007124428235917202,135.5445636290067,0.726173908716131,0.0002781197023928264,25.132741228718356
5,81,5.405272379084051e-8,1,1,1,0.9659308320895227,0.007126380952631761,135.54296893611982,0.000533075792952264,0.36695396749736836,25.13274122871827
5,82,5.472004136850521e-8,2,2,1,0.9663261072269751,0.007949521062956232,121.55777682380555,0.008283014518857908,0.004640425715576112,25.132741228718185
5,83,5.538735894616991e-8,3,3,1,0.9665274673006247,0.007897437619282088,122.38494482574797,0.20150531520492385,0.001709447458669286,25.132741228718192
5,84,5.6054676523834606e-8,4,4,1,0.9667307031594214,0.007890036617560737,122.52550273439586,0.0005117247058805437,0.6179397645141997,25.13274122871823
5,85,5.6721994101499304e-8,0,0,1,0.961518301168532,0.007899196277547503,121.72356115539627,0.7251364116476451,0.00030503418334672515,25.1327412287184
5,86,5.7389311679164e-8,1,1,1,0.961820161654804,0.007906136088818832,121.65489574800614,0.0005932122593394673,0.37015190360301103,25.13274122871829
5,87,5.80566292568287e-8,2,2,1,0.9622421746808231,0.008752062931738584,109.9446133084049,0.009122110348844562,0.005039507275065639,25.132741228718185
5,88,5.87239468344934e-8,3,3,1,0.9623815376495113,0.008704575630500356,110.5604200022548,0.19760467226504505,0.0019704014865299015,25.132741228718242
5,89,5.9391264412158096e-8,4,4,1,0.9625490173796087,0.008645149592934786,111.33977579361358,0.0005761023206175517,0.6182868691523928,25.132741228718395
5,90,6.00585819898228e-8,0,0,1,0.9571065118327524,0.008650807701033528,110.63782075729242,0.7236432302979166,0.00033461601409309365,25.132741228718203
5,91,6.072589956748749e-8,1,1,1,0.9574670127682832,0.008588809351917517,111.47843356827119,0.0006169926735411106,0.37342095440205814,25.132741228718285
5,92,6.139321714515219e-8,2,2,1,0.9578432069244993,0.009508043746095492,100.74030289541324,0.009889352823721075,0.005503201524936908,25.13274122871826
