q,t,time_s,decoded,expected,ok,best_overlap,second_overlap,contrast,near_plus,near_minus,energy
2,3,2.0019527329940924e-9,1,1,1,1,7.767161318161284e-9,128747165.02434243,0.000002362124147163164,0.724014236235134,25.132741228718395
2,4,2.66927031065879e-9,0,0,1,0.9995953398431271,9.994493566792443e-8,10001460.635928245,0.723988119053628,0.00000286680407079483,25.13274122871823
2,5,3.3365878883234876e-9,1,1,1,0.9995716331911233,1.5489917904533562e-8,64530466.80761106,0.000002584394500671726,0.7238849525700847,25.132741228718377
2,6,4.003905465988185e-9,0,0,1,0.9995619311329399,1.341744997026448e-7,7449716.103642285,0.7237853056296313,0.000003849388864452142,25.1327412287183
2,7,4.671223043652883e-9,1,1,1,0.9995530528240533,3.7711350795946575e-8,26505363.28524967,0.000003892824631595216,0.7237648065421971,25.132741228718285
2,8,5.33854062131758e-9,0,0,1,0.9995189520741666,3.277327175661194e-8,30497991.15257743,0.7232728737475593,0.000004127985549882264,25.132741228718345
2,9,6.005858198982277e-9,1,1,1,0.9994922461701107,5.511304313511296e-9,181353122.47588924,0.0000037873672458916297,0.7232229330224428,25.132741228718082
2,10,6.673175776646975e-9,0,0,1,0.9994628816274691,6.945326891163324e-8,14390436.869128585,0.7231569057439123,0.000003967859216358576,25.13274122871825
2,11,7.340493354311672e-9,1,1,1,0.9994541036695717,8.880532444585688e-8,11254438.96417407,0.000004691049692467555,0.7231588175902026,25.132741228718384
2,12,8.00781093197637e-9,0,0,1,0.9994245547956676,1.366702197916848e-7,7312672.477727837,0.7229527967572615,0.00000468061698821026,25.13274122871819
2,13,8.675128509641068e-9,1,1,1,0.9994038649833128,1.4033038823038144e-7,7121792.204711813,0.00000572658683796089,0.7230028167958914,25.132741228718242
2,14,9.342446087305766e-9,0,0,1,0.999362382873912,4.511600487405363e-8,22150950.32602607,0.722950223415286,0.000004959337068560735,25.132741228718274
2,15,1.0009763664970462e-8,1,1,1,0.9993494747472161,9.284078775976658e-8,10764121.016865106,0.000005413156115422871,0.7229601677775225,25.132741228718317
2,16,1.067708124263516e-8,0,0,1,0.9993059935807944,1.1821326777512265e-7,8453416.544425253,0.7229899178956612,0.000006333887329212703,25.13274122871835
2,17,1.1344398820299858e-8,1,1,1,0.9993044242624268,1.6801573845426283e-7,5947683.434040062,0.0000051590163575032045,0.7226878372860455,25.132741228718288
2,18,1.2011716397964554e-8,0,0,1,0.9992360886118952,9.226417863483578e-8,10830162.945108775,0.7224208342080942,0.000006051169826153048,25.132741228718277
2,19,1.2679033975629252e-8,1,1,1,0.9992274002512095,1.695288924522925e-7,5894142.206658987,0.00000826986872861316,0.7223705655071695,25.132741228718217
2,20,1.334635155329395e-8,0,0,1,0.9991915906603112,4.668488088851317e-7,2140289.471973704,0.7220526717162993,0.000007156512254296539,25.13274122871821
2,21,1.4013669130958647e-8,1,1,1,0.999174247674681,2.92956623661319e-7,3410655.93666114,0.000007294541772597676,0.7220340960957614,25.13274122871827
