mask,cellPx,pitchPx,cells,G0,s,Ia,seed,t,ber,on_min,on_median,off_max,false_activation,bg_max,lyapunov_at_end
moat,3,8,25,3,-0.8,0.3,1,1,0,0.4163361037529809,1.1562220818389048,0.005897014612644946,0,0.5501185692225536,NaN
moat,3,8,25,3,-0.8,0.3,1,3,0.24,0.017535449120460136,0.5598554110339372,0.00454407418187432,0,0.27769726864395317,NaN
moat,3,8,25,3,-0.8,0.3,1,10,0.36,0.00007992841473016575,0.007227842433051269,0.00206643884330481,0,0.14817131206766646,NaN
moat,3,8,25,3,-0.8,0.3,1,30,0.48,0.000055769763888614474,0.001899225721144476,0.00226246875087384,0,0.11335147065764808,NaN
moat,3,8,25,3,-0.8,0.3,2,1,0,0.4730378998675752,1.0517001501399457,0.005766809918306136,0,0.5449029121062137,NaN
moat,3,8,25,3,-0.8,0.3,2,3,0.28,0.021057499981117018,0.4059896736039831,0.007981973467130846,0,0.24755195402591806,NaN
moat,3,8,25,3,-0.8,0.3,2,10,0.36,0.00004935571604848466,0.0017052471239936075,0.005322936442234923,0,0.1380317250391817,NaN
moat,3,8,25,3,-0.8,0.3,2,30,0.4,0.000029819115325925845,0.0010258732078057896,0.004093309903259021,0,0.11136806011439705,NaN
moat,3,8,25,3,-0.8,0.3,3,1,0,0.8302825098221827,1.514221054785457,0.0031737636576081546,0,0.5462983530730825,NaN
moat,3,8,25,3,-0.8,0.3,3,3,0.24,0.16064932619532132,1.1108093419138318,0.0038819241271368416,0,0.21342731024505615,NaN
moat,3,8,25,3,-0.8,0.3,3,10,0.28,0.0005264998550267713,0.40672628855849374,0.0032703415361433705,0,0.1495430330613755,NaN
moat,3,8,25,3,-0.8,0.3,3,30,0.4,0.00018476595919355546,0.0012705761408793486,0.002577377995809719,0,0.12074561890367944,NaN
