mask,cellPx,pitchPx,cells,G0,s,Ia,seed,t,ber,on_min,on_median,off_max,false_activation,bg_max,lyapunov_at_end
none,3,6,49,1.9,-0.8,0.3,1,1,0.02040816326530612,0.06946635147559847,0.7288306247178321,0.016758091010185366,0,0.5351611285577355,NaN
none,3,6,49,1.9,-0.8,0.3,1,3,0.16326530612244897,0.003997023144622739,0.3110010259886098,0.00472361862514343,0,0.2616454039195061,NaN
none,3,6,49,1.9,-0.8,0.3,1,10,0.5918367346938775,7.422826405824072e-7,0.00027356624115834914,0.00007867575470031227,0,0.0023848081625095544,NaN
none,3,6,49,1.9,-0.8,0.3,1,30,0.5918367346938775,1.2940107493083662e-18,4.713741350594742e-16,3.051821276656955e-16,0,8.359907115092056e-15,NaN
none,3,6,49,1.9,-0.8,0.3,1,100,0.5918367346938775,1.2916648428733736e-59,5.077721342787256e-57,5.103162162657317e-57,0,1.5492830108358772e-55,NaN
none,3,6,49,1.9,-0.8,0.3,1,300,0.5918367346938775,2.0346896584966513e-176,4.135857188459397e-174,1.5490832489586818e-173,0,2.9639512251553366e-172,NaN
none,3,6,49,1.9,-0.8,0.3,1,1000,0.5918367346938775,0,0,0,0,0,NaN
none,3,6,49,1.9,-0.8,0.3,1,1500,0.5918367346938775,0,0,0,0,0,NaN
none,3,6,49,1.9,-0.8,0.3,2,1,0.061224489795918366,0.0678826384527958,0.9530377736272135,0.016464934870294403,0,0.46822720152110653,NaN
none,3,6,49,1.9,-0.8,0.3,2,3,0.1836734693877551,0.005416095248470424,0.4863998718375664,0.0047440297423863255,0,0.2302439963638798,NaN
none,3,6,49,1.9,-0.8,0.3,2,10,0.5102040816326531,0.000004184776422774156,0.0012481522660812063,0.00008843824957932114,0,0.0032695458611621923,NaN
none,3,6,49,1.9,-0.8,0.3,2,30,0.5102040816326531,2.9831541429916954e-18,2.35382372152351e-15,4.0955551563541233e-16,0,1.0834638099370032e-14,NaN
none,3,6,49,1.9,-0.8,0.3,2,100,0.5102040816326531,5.037531791487389e-59,2.288405358439635e-56,5.44254434905011e-57,0,1.888507718517072e-55,NaN
none,3,6,49,1.9,-0.8,0.3,2,300,0.5102040816326531,8.244425427894135e-176,1.5268275001075657e-173,1.1066147173831485e-173,0,7.066229179698455e-172,NaN
none,3,6,49,1.9,-0.8,0.3,2,1000,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,1.9,-0.8,0.3,2,1500,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,1.9,-0.8,0.3,3,1,0.061224489795918366,0.06077977042562399,0.5461996223659421,0.016095983013335598,0,0.5410639899599502,NaN
none,3,6,49,1.9,-0.8,0.3,3,3,0.22448979591836735,0.0037390669771424218,0.2024816748872268,0.003857244626973214,0,0.2551900520416333,NaN
none,3,6,49,1.9,-0.8,0.3,3,10,0.5102040816326531,0.0000017338163400911863,0.00008465543833938962,0.00006732720898223712,0,0.002300256995807678,NaN
none,3,6,49,1.9,-0.8,0.3,3,30,0.5102040816326531,1.1293701344366048e-18,1.514344869523624e-16,3.4674969258328263e-16,0,8.77387779145778e-15,NaN
none,3,6,49,1.9,-0.8,0.3,3,100,0.5102040816326531,4.1220868560444657e-60,2.305505791508331e-57,6.78901565982531e-57,0,1.51337394895203e-55,NaN
none,3,6,49,1.9,-0.8,0.3,3,300,0.5102040816326531,1.6951482370502974e-176,1.7375533258434846e-174,1.926092742521568e-173,0,3.157012833594161e-172,NaN
none,3,6,49,1.9,-0.8,0.3,3,1000,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,1.9,-0.8,0.3,3,1500,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,1.9,-0.6,0.05,1,1,0.02040816326530612,0.0772167899776412,0.8101470723977582,0.01862780996083014,0,0.5948696540159563,NaN
none,3,6,49,1.9,-0.6,0.05,1,3,0.04081632653061224,0.022315018083998335,0.73880097912147,0.011239697336607004,0,0.6441499758227248,NaN
none,3,6,49,1.9,-0.6,0.05,1,10,0.08163265306122448,0.0010314681285771314,0.7315959482501474,0.0054983508676643205,0,0.8283091794783555,NaN
none,3,6,49,1.9,-0.6,0.05,1,30,0.12244897959183673,0.0005563049101458156,0.8335671444034854,0.00516842007738398,0,1.2836381050294494,NaN
none,3,6,49,1.9,-0.6,0.05,1,100,0.12244897959183673,0.0003404479488478999,0.8060328764100534,0.01631130008535645,0,1.519330129966554,NaN
none,3,6,49,1.9,-0.6,0.05,1,300,0.2653061224489796,0.00005849042427047627,0.7237131074532754,0.2606935827219121,0.05,1.646651821307979,NaN
none,3,6,49,1.9,-0.6,0.05,1,1000,0.2857142857142857,0.00008706276148119571,0.5348084041675941,0.5090379276530963,0.05,1.6447447498271368,NaN
none,3,6,49,1.9,-0.6,0.05,1,1500,0.2857142857142857,0.000012180566094340297,0.4847917729960127,0.5425593449825294,0.05,1.6529092658681388,NaN
none,3,6,49,1.9,-0.6,0.05,2,1,0.061224489795918366,0.07545638032218992,1.05936926358917,0.018301946062643865,0,0.5204678339033565,NaN
none,3,6,49,1.9,-0.6,0.05,2,3,0.08163265306122448,0.02860977639673194,0.9618802134404637,0.013247874008228522,0,0.5734041183469012,NaN
none,3,6,49,1.9,-0.6,0.05,2,10,0.10204081632653061,0.00291069041280736,0.8796346595708067,0.007592931445047118,0,0.7301391814303241,NaN
none,3,6,49,1.9,-0.6,0.05,2,30,0.10204081632653061,0.00024539455795174396,0.8356894493217174,0.00221785864043834,0,1.1732236233215936,NaN
none,3,6,49,1.9,-0.6,0.05,2,100,0.12244897959183673,0.000024103138949790516,0.8041273811974291,0.01720306105398162,0,1.560258552084502,NaN
none,3,6,49,1.9,-0.6,0.05,2,300,0.1836734693877551,0.00003282691065674164,0.7213110435159971,0.15801719457763058,0,1.5069970127446932,NaN
none,3,6,49,1.9,-0.6,0.05,2,1000,0.2653061224489796,0.00002512211562002374,0.36348791410853803,0.5516370304044644,0.041666666666666664,1.6332584006967954,NaN
none,3,6,49,1.9,-0.6,0.05,2,1500,0.2653061224489796,0.0000377810806507723,0.39575409882369667,0.39708126563522245,0.041666666666666664,1.9238971950888344,NaN
none,3,6,49,1.9,-0.6,0.05,3,1,0.061224489795918366,0.06756103736775704,0.6071397249201004,0.017891829834491946,0,0.6014311042646008,NaN
none,3,6,49,1.9,-0.6,0.05,3,3,0.061224489795918366,0.022467933938713453,0.549669813040474,0.01648689843394656,0,0.6597562021818355,NaN
