mask,cellPx,pitchPx,cells,G0,s,Ia,seed,t,ber,on_min,on_median,off_max,false_activation,bg_max,lyapunov_at_end
moat,3,6,49,3,-0.6,0.05,1,1,0.02040816326530612,0.10263995773902117,1.0768831661789553,0.024760905338123293,0,0.7907269412015662,NaN
moat,3,6,49,3,-0.6,0.05,1,3,0.16326530612244897,0.002643605676379593,0.5178231046282615,0.04142811289665956,0,0.39737382172976066,NaN
moat,3,6,49,3,-0.6,0.05,1,10,0.3469387755102041,0.0004170213362255253,0.15776175306659126,0.6405023758142597,0.05,0.30830324786825963,NaN
moat,3,6,49,3,-0.6,0.05,1,30,0.42857142857142855,0.000307526853063893,0.008835058369378443,3.541789928765702,0.25,0.3312982970192542,NaN
moat,3,6,49,3,-0.6,0.05,1,100,0.4897959183673469,0.0006708568306794492,0.01845786193379798,3.7127186079778065,0.4,0.40244529678463653,NaN
moat,3,6,49,3,-0.6,0.05,1,300,0.4897959183673469,0.0007638175498989143,0.01839456357855878,3.54323746675699,0.4,0.400246320146024,NaN
moat,3,6,49,3,-0.6,0.05,1,1000,0.4897959183673469,0.0006049355684483081,0.024065946624291196,3.695397401998057,0.4,0.3949393901732138,NaN
moat,3,6,49,3,-0.6,0.05,1,1500,0.4897959183673469,0.000734527422172276,0.023159520807476096,3.673376006816907,0.4,0.39896964538281976,NaN
moat,3,6,49,3,-0.6,0.05,2,1,0.061224489795918366,0.1002999436994425,1.40816027804698,0.024327752694142706,0,0.6918287653738114,NaN
moat,3,6,49,3,-0.6,0.05,2,3,0.16326530612244897,0.0030355097935162965,1.0460880031529358,0.05232388103194773,0,0.43262379282931446,NaN
moat,3,6,49,3,-0.6,0.05,2,10,0.2653061224489796,0.0009589648639146994,0.829627910733965,0.9305162186961806,0.08333333333333333,0.3355951544318371,NaN
moat,3,6,49,3,-0.6,0.05,2,30,0.30612244897959184,0.0007751964603984205,0.8965230687745515,2.8889842080489414,0.16666666666666666,0.38822688579709963,NaN
