noise,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,1,0,0.8151593822327995,1.006658280020497,0.009950148725528815,0,50.117525098427286,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,3,0.1875,0.15990368777558447,0.3168435778066843,0.009084537569253735,0,15.50207700514087,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,10,0.5625,0.000004391049031368606,0.00007548146434234762,0.000016579260918100034,0,0.0037129113777866936,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,30,0.5625,8.109942368255104e-20,1.3765288907390045e-18,2.365307526223767e-18,0,9.369216883737722e-17,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,100,0.5625,1.8034199396235458e-66,1.5917283065911514e-65,3.759851945685732e-65,0,1.262228640040742e-63,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,300,0.5625,2.219803785239166e-200,1.9518362833370982e-199,4.620392421380607e-199,0,1.5498697101422482e-197,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,1000,0.5625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,1,3000,0.5625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,1,0,0.7900618055181059,0.9929564313020112,0.007586669068123319,0,44.13386375496097,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,3,0.125,0.14141222774981255,0.30635151822040474,0.004789762019522083,0,13.380847173329169,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,10,0.5,3.215301134947615e-8,0.00006870899591210397,0.000013319762965515689,0,0.003033422524521842,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,30,0.5,1.0495882057006692e-19,1.1426127645691059e-18,1.8931589027562793e-18,0,7.337701818718799e-17,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,100,0.5,1.399876419425906e-66,1.2619787772284148e-65,3.053941499511341e-65,0,9.775539787076755e-64,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,300,0.5,1.7191852140824075e-200,1.5467928033479873e-199,3.757116111668315e-199,0,1.2003372148878552e-197,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,1000,0.5,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,2,3000,0.5,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,1,0,0.8122397762784567,1.0392692641113739,0.011944184128360994,0,56.4430403283868,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,3,0.0625,0.15374752007806985,0.35010878817175844,0.011321252965505353,0,18.70841613728896,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,10,0.625,0.000003876322858954632,0.0001917783000358377,0.00003074330441999202,0,0.010027734603444324,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,30,0.625,4.992758066322415e-19,5.49203225504416e-18,6.76042560773259e-18,0,3.3101777303942443e-16,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,100,0.625,6.437271333772051e-66,6.729144637791676e-65,1.3267572455013894e-64,0,4.475005015276958e-63,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,300,0.625,7.869146292105189e-200,8.248731628629846e-199,1.637916923354814e-198,0,5.49424739783833e-197,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,1000,0.625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.8,0.2,0,3,3000,0.625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,1,0,0.7745243501600549,0.9564771836772488,0.009454141905999887,0,47.61920724284061,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,3,0.25,0.10375959755910331,0.22799897883656792,0.005297464082541941,0,11.132846101605546,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,10,0.5625,2.1506906882107796e-8,3.356823143334084e-7,8.949792017758309e-8,0,0.000016679720868586954,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,30,0.5625,3.654298504008542e-28,6.001549277487064e-27,1.0552724635217356e-26,0,4.116405381905419e-25,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,100,0.5625,6.7207119028154445e-96,5.930714723542592e-95,1.401119962910949e-94,0,4.7033312685272214e-93,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,300,0.5625,5.147341182357168e-290,4.525970875196354e-289,1.0713891178161275e-288,0,3.593879891352455e-287,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,1000,0.5625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,1,3000,0.5625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,1,0,0.7506778672277288,0.9434583609709357,0.007208479786827104,0,41.93382654964201,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,3,0.3125,0.09037374453018668,0.21968805490903856,0.002777082702877904,0,9.571532830676775,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,10,0.5,1.2272899681233925e-10,3.0332910991513816e-7,7.305923535530218e-8,0,0.00001356049500079753,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,30,0.5,4.748647025691701e-28,4.9744244948754086e-27,8.489366633689076e-27,0,3.2319371045288917e-25,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,100,0.5,5.238855412503909e-96,4.721753361515247e-95,1.1429622934834757e-94,0,3.6580509472765015e-93,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,300,0.5,4.0034432656866416e-290,3.601995394789206e-289,8.749145275200798e-289,0,2.795208972383498e-287,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,1000,0.5,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,2,3000,0.5,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,1,0,0.7717502841874381,0.9874625367402071,0.011348776266147243,0,53.629400684388536,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,3,0.3125,0.09923391954982465,0.25535587079745137,0.00618844770781271,0,13.6120240905395,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,10,0.625,1.872313918200562e-8,8.315581643022014e-7,1.6984025693732716e-7,0,0.0000436817776178544,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,30,0.625,2.122951321492515e-27,2.3048771898186758e-26,2.9201369005939153e-26,0,1.3960550595654138e-24,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,100,0.625,2.3010185387238762e-95,2.405688440069856e-94,4.744972879845905e-94,0,1.5999591895175634e-92,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,300,0.625,1.750836280125163e-289,1.8352916661345767e-288,3.6442636524667814e-288,0,1.2224359961493894e-286,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,1000,0.625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.4,-0.9,0.3,0,3,3000,0.625,0,0,0,0,0,NaN,NaN
0,2,3,100,16,99.99999999999999,2.8,-0.8,0.2,0,1,1,0,0.9027294004469288,1.1148004247816101,0.011019062025331839,0,55.50149378157614,NaN,NaN
0,2,3,100,16,99.99999999999999,2.8,-0.8,0.2,0,1,3,0.0625,0.2397368005323999,0.45481175998300344,0.013306818705524892,0,22.267328905429807,NaN,NaN
0,2,3,100,16,99.99999999999999,2.8,-0.8,0.2,0,1,10,0.5625,0.00005189465502157764,0.0017751219312463077,0.00022357908970126907,0,0.0855864963350898,NaN,NaN
