cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,1,1,0,2.81655543978797,2.8234792858474917,0.010653571963478846,0,146.3521334619741,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,1,3,0,4.46750622877214,4.551935675798071,0.03474166976512018,0,228.48764820647833,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,1,10,0.4444444444444444,6.828980899441638,7.008773469919603,1.6045865139001585,0.6666666666666666,415.1824919205596,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,1,30,0.6666666666666666,7.288016921503314,7.439386830597058,7.24096076223775,1,989.3291260353196,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,2,1,0,2.8202035872446785,2.827455867161551,0.00571294356997012,0,195.01528229812453,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,2,3,0,4.465862651540475,4.54275330719039,0.032227758159281895,0,304.08361520388723,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,2,10,0.5555555555555556,6.831298474841291,6.974864129536437,0.7867545767450649,1,512.7491640705858,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,2,30,0.5555555555555556,7.163508375068815,7.36635404927009,7.771298491174531,1,1025.512025425879,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,3,1,0,2.83545479700413,2.8581049038455184,0.012431974632188899,0,343.07623246753593,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,3,3,0,4.539320906038409,4.590433538295978,0.050257158020399234,0,537.0313792087028,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,3,10,0.2222222222222222,6.75234679529251,6.934371647949341,1.7281857036914081,1,850.3024864158965,NaN,NaN
4,3,140,9,51.0204081632653,5,-0.6,0.05,0,3,30,0.2222222222222222,7.216653033093865,7.408084206583605,7.839061016876173,1,1090.5970305902686,NaN,NaN
