mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,thr,class,analytic
moat,4.0,6.0,8.0,0.0,4.0,-0.8,3000.0,7.0,0.004313713469836428,4.155724588082429,2.836838438932966,7.47964508983592,-0.04665276753838368,0.9733298114277721,0.5,0.3203125,2.25604411063532,0.1400524663868142,2.243893526950776,chaotic/expanding,bistable
moat,3.0,5.0,9.0,0.0,1.6,-0.2,3000.0,7.0,-0.08420455820735344,2.2713455143811453e-219,1.4957015149986375e-219,8.449995093627348e-218,0.0,0.0,0.4567901234567901,0.0,1.1517872735182405e-116,7.467370461745947e-121,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,3.0,5.0,9.0,0.0,1.6,-0.4,3000.0,7.0,-0.2280455944334855,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.0,0.0,3.4331657303141967e-308,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,3.0,5.0,9.0,0.0,1.6,-0.6,3000.0,7.0,-0.43077814845542284,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,3.0,5.0,9.0,0.0,1.6,-0.8,3000.0,7.0,-0.7773517387026334,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,3.0,5.0,9.0,0.0,1.8,-0.2,3000.0,7.0,-0.00024022532824222043,0.06708995168905342,0.04451723747221994,0.5755474190108514,0.030410195495108334,0.9998606634220235,0.4444444444444444,0.010986328125,1.2184737275199175e-06,0.000344737945969586,0.44999999999999996,near-critical,bistable
moat,3.0,5.0,9.0,0.0,1.8,-0.4,3000.0,7.0,-0.16915407646124497,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.0,0.0,1.839687268247276e-231,0.44999999999999996,extinct (trivial attractor),bistable
moat,3.0,5.0,9.0,0.0,1.8,-0.6,3000.0,7.0,-0.3718866305618431,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),bistable
moat,3.0,5.0,9.0,0.0,1.8,-0.8,3000.0,7.0,-0.7184602208357121,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,3.0,5.0,9.0,0.0,1.9,-0.2,3000.0,7.0,1.8764564103135797e-05,0.1662738296857486,0.10865358652962838,0.8371376462761133,0.10944791371265043,0.9999848021073865,0.4691358024691358,0.020263671875,2.827202829834949e-07,0.0011384421664010114,0.44999999999999996,near-critical,off-unstable
moat,3.0,5.0,9.0,0.0,1.9,-0.4,3000.0,7.0,8.455597345328641e-07,0.03890250862668464,0.025730673043506836,0.6596285943737037,0.17465275913995323,0.9999999297425913,0.43209876543209874,0.005615234375,2.4570182966682936e-06,3.589270209935422e-05,0.44999999999999996,near-critical,bistable
