mask,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,energy_trace,thr
zero,0,1.8,-0.6,300,7,-0.3541305438487945,2.468750332098222e-84,7.215610205710435e-85,3.973839802737913e-83,0.1379599942151186,0.9896307278611901,0.4305555555555556,0,3.4148173935944575e-51,3.593823407793079e-52,1.758e-1 9.635e-2 5.333e-2 2.803e-2 1.066e-2 1.777e-3 5.715e-5 8.365e-7 1.185e-8 1.681e-10 2.388e-12 3.395e-14 4.830e-16 6.875e-18 9.790e-20 1.394e-21 1.987e-23 2.832e-25 4.037e-27 5.755e-29 8.207e-31 1.170e-32 1.669e-34 2.381e-36 3.397e-38 4.846e-40 6.915e-42 9.866e-44 1.408e-45 2.009e-47 2.866e-49 4.090e-51 5.837e-53 8.330e-55 1.189e-56 1.696e-58 2.421e-60 3.455e-62 4.931e-64 7.038e-66 1.004e-67 1.434e-69 2.046e-71 2.920e-73 4.168e-75 5.949e-77 8.491e-79 1.212e-80 1.730e-82 2.469e-84,0.44999999999999996
zero,0,2.2,-0.6,300,7,0.0066500648462812185,9.932659144679848,1.613678109581935,2.6903550077561653,-0.06667545071508635,0.9772207404511782,0.5763888888888888,0.48681640625,0.002386349540708098,0.342021872226365,5.497e-1 1.047e+0 1.684e+0 2.298e+0 2.881e+0 3.485e+0 4.141e+0 4.816e+0 5.477e+0 6.101e+0 6.692e+0 7.243e+0 7.742e+0 8.186e+0 8.566e+0 8.878e+0 9.142e+0 9.350e+0 9.500e+0 9.605e+0 9.677e+0 9.727e+0 9.761e+0 9.785e+0 9.804e+0 9.818e+0 9.830e+0 9.840e+0 9.849e+0 9.856e+0 9.863e+0 9.869e+0 9.875e+0 9.880e+0 9.885e+0 9.889e+0 9.893e+0 9.897e+0 9.901e+0 9.904e+0 9.908e+0 9.911e+0 9.914e+0 9.917e+0 9.919e+0 9.922e+0 9.925e+0 9.927e+0 9.930e+0 9.933e+0,0.8071065023268496
