config,wavelength_nm,coupling_radius_t128_um,coupling_rank_t128,coupling_rank_t16384,max_lifetime_any_trips,max_states_per_mm2_life_ge_1024,max_states_per_mm2_life_ge_128,modes_gt_1e2,modes_gt_1e3,modes_gt_1e5,pitch_um_life_ge_1024,pitch_um_life_ge_128,required_gain,retention_per_trip,rt_rate_GHz,self_t128,t_rt_ns
A_img,450,105.65597614340376,81/81,63/81,2048,69.4,277.8,454,404,235,120,60,1.4617416591489314,0.6841154137881171,1.49851708521031,0.7821763050796048,0.6673263921176145
A_img,532,104.17167619842726,77/81,70/81,2048,69.4,277.8,312,276,156,120,60,1.4617416591489685,0.6841154137880997,1.4985281019012349,0.7384415281588694,0.6673214861511539
A_img,650,106.4948184856034,77/81,69/81,1024,39.1,277.8,200,173,85,160,60,1.4617416591489516,0.6841154137881076,1.4985368787969544,0.6612205578256566,0.6673175776646975
B_4f,450,253.02523897451817,61/64,32/64,512,0,110.2,661,574,344,,95,1.5933952140411511,0.6275906888560379,0.37462927130257745,0.4572560307885301,2.6693055684704583
B_4f,532,237.76711572671806,64/64,32/64,512,0,110.2,535,471,250,,95,1.5933952140411445,0.6275906888560405,0.3746320254753087,0.588240844343068,2.6692859446046158
B_4f,650,199.81456283994086,64/64,36/64,512,0,62.0,344,310,155,,127,1.593395214041186,0.6275906888560242,0.37463421969923855,0.6157849475724531,2.6692703106587903
