operator,encoding,ber_max,pitch_um,pitch_px,sigma_um,bits_per_mm2,lifetime_trips,lifetime_s,bits_in_fov,fov_mm2,censored
A_img,dual_rail,0.0,40.0,2.0,10.0,312.5,0,0.0,200,0.6400000000000001,False
A_img,dual_rail,0.0,60.00000000000001,3.0,15.000000000000002,138.88888888888883,0,0.0,88,0.6400000000000001,False
A_img,dual_rail,0.0,80.0,4.0,20.0,78.125,0,0.0,50,0.6400000000000001,False
A_img,dual_rail,0.0,100.0,5.0,25.0,49.99999999999999,0,0.0,32,0.6400000000000001,False
A_img,dual_rail,0.0,120.00000000000001,6.0,30.000000000000004,34.72222222222221,4,2.66927031065879e-09,22,0.6400000000000001,False
A_img,dual_rail,0.0,160.0,8.0,40.0,19.53125,0,0.0,12,0.6400000000000001,False
A_img,dual_rail,0.0,200.0,10.0,50.0,12.499999999999998,1,6.673175776646975e-10,8,0.6400000000000001,False
A_img,dual_rail,0.0,240.00000000000003,12.0,60.00000000000001,8.680555555555552,128,8.541664994108128e-08,5,0.6400000000000001,False
A_img,dual_rail,0.0,320.0,16.0,80.0,4.8828125,512,3.416665997643251e-07,3,0.6400000000000001,False
A_img,dual_rail_sq,0.0,40.0,2.0,10.0,312.5,0,0.0,200,0.6400000000000001,False
A_img,dual_rail_sq,0.0,60.00000000000001,3.0,15.000000000000002,138.88888888888883,0,0.0,88,0.6400000000000001,False
A_img,dual_rail_sq,0.0,80.0,4.0,20.0,78.125,0,0.0,50,0.6400000000000001,False
A_img,dual_rail_sq,0.0,100.0,5.0,25.0,49.99999999999999,0,0.0,32,0.6400000000000001,False
A_img,dual_rail_sq,0.0,120.00000000000001,6.0,30.000000000000004,34.72222222222221,16,1.067708124263516e-08,22,0.6400000000000001,False
A_img,dual_rail_sq,0.0,160.0,8.0,40.0,19.53125,2,1.334635155329395e-09,12,0.6400000000000001,False
A_img,dual_rail_sq,0.0,200.0,10.0,50.0,12.499999999999998,4,2.66927031065879e-09,8,0.6400000000000001,False
A_img,dual_rail_sq,0.0,240.00000000000003,12.0,60.00000000000001,8.680555555555552,1024,6.833331995286502e-07,5,0.6400000000000001,False
A_img,dual_rail_sq,0.0,320.0,16.0,80.0,4.8828125,1024,6.833331995286502e-07,3,0.6400000000000001,False
A_img,differential_sq,0.0,40.0,2.0,10.0,312.5,0,0.0,200,0.6400000000000001,False
A_img,differential_sq,0.0,60.00000000000001,3.0,15.000000000000002,138.88888888888883,0,0.0,88,0.6400000000000001,False
A_img,differential_sq,0.0,80.0,4.0,20.0,78.125,0,0.0,50,0.6400000000000001,False
A_img,differential_sq,0.0,100.0,5.0,25.0,49.99999999999999,0,0.0,32,0.6400000000000001,False
A_img,differential_sq,0.0,120.00000000000001,6.0,30.000000000000004,34.72222222222221,0,0.0,22,0.6400000000000001,False
A_img,differential_sq,0.0,160.0,8.0,40.0,19.53125,0,0.0,12,0.6400000000000001,False
A_img,differential_sq,0.0,200.0,10.0,50.0,12.499999999999998,0,0.0,8,0.6400000000000001,False
A_img,differential_sq,0.0,240.00000000000003,12.0,60.00000000000001,8.680555555555552,4,2.66927031065879e-09,5,0.6400000000000001,False
A_img,differential_sq,0.0,320.0,16.0,80.0,4.8828125,1024,6.833331995286502e-07,3,0.6400000000000001,False
A_img,presence_phase0,0.01,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0,0.01,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0,0.01,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0,0.01,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0,0.01,120.00000000000001,6.0,30.000000000000004,69.44444444444441,0,0.0,44,0.6400000000000001,False
A_img,presence_phase0,0.01,160.0,8.0,40.0,39.0625,0,0.0,25,0.6400000000000001,False
A_img,presence_phase0,0.01,200.0,10.0,50.0,24.999999999999996,0,0.0,16,0.6400000000000001,False
A_img,presence_phase0,0.01,240.00000000000003,12.0,60.00000000000001,17.361111111111104,0,0.0,11,0.6400000000000001,False
A_img,presence_phase0,0.01,320.0,16.0,80.0,9.765625,32,2.135416248527032e-08,6,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,120.00000000000001,6.0,30.000000000000004,69.44444444444441,0,0.0,44,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,160.0,8.0,40.0,39.0625,0,0.0,25,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,200.0,10.0,50.0,24.999999999999996,0,0.0,16,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,240.00000000000003,12.0,60.00000000000001,17.361111111111104,2,1.334635155329395e-09,11,0.6400000000000001,False
A_img,presence_phase0_sq,0.01,320.0,16.0,80.0,9.765625,1024,6.833331995286502e-07,6,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,100.0,5.0,25.0,99.99999999999999,1,6.673175776646975e-10,64,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,120.00000000000001,6.0,30.000000000000004,69.44444444444441,128,8.541664994108128e-08,44,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,160.0,8.0,40.0,39.0625,4,2.66927031065879e-09,25,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,200.0,10.0,50.0,24.999999999999996,128,8.541664994108128e-08,16,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,240.00000000000003,12.0,60.00000000000001,17.361111111111104,1024,6.833331995286502e-07,11,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.01,320.0,16.0,80.0,9.765625,2048,1.3666663990573005e-06,6,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,120.00000000000001,6.0,30.000000000000004,69.44444444444441,64,4.270832497054064e-08,44,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,160.0,8.0,40.0,39.0625,4,2.66927031065879e-09,25,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,200.0,10.0,50.0,24.999999999999996,16,1.067708124263516e-08,16,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,240.00000000000003,12.0,60.00000000000001,17.361111111111104,1024,6.833331995286502e-07,11,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.01,320.0,16.0,80.0,9.765625,2048,1.3666663990573005e-06,6,0.6400000000000001,False
A_img,phase_0pi,0.01,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,phase_0pi,0.01,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,phase_0pi,0.01,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,phase_0pi,0.01,100.0,5.0,25.0,99.99999999999999,1,6.673175776646975e-10,64,0.6400000000000001,False
A_img,phase_0pi,0.01,120.00000000000001,6.0,30.000000000000004,69.44444444444441,8,5.33854062131758e-09,44,0.6400000000000001,False
A_img,phase_0pi,0.01,160.0,8.0,40.0,39.0625,2,1.334635155329395e-09,25,0.6400000000000001,False
A_img,phase_0pi,0.01,200.0,10.0,50.0,24.999999999999996,4,2.66927031065879e-09,16,0.6400000000000001,False
A_img,phase_0pi,0.01,240.00000000000003,12.0,60.00000000000001,17.361111111111104,1024,6.833331995286502e-07,11,0.6400000000000001,False
A_img,phase_0pi,0.01,320.0,16.0,80.0,9.765625,512,3.416665997643251e-07,6,0.6400000000000001,False
A_img,dual_rail,0.01,40.0,2.0,10.0,312.5,0,0.0,200,0.6400000000000001,False
A_img,dual_rail,0.01,60.00000000000001,3.0,15.000000000000002,138.88888888888883,0,0.0,88,0.6400000000000001,False
A_img,dual_rail,0.01,80.0,4.0,20.0,78.125,0,0.0,50,0.6400000000000001,False
A_img,dual_rail,0.01,100.0,5.0,25.0,49.99999999999999,1,6.673175776646975e-10,32,0.6400000000000001,False
A_img,dual_rail,0.01,120.00000000000001,6.0,30.000000000000004,34.72222222222221,16,1.067708124263516e-08,22,0.6400000000000001,False
A_img,dual_rail,0.01,160.0,8.0,40.0,19.53125,0,0.0,12,0.6400000000000001,False
A_img,dual_rail,0.01,200.0,10.0,50.0,12.499999999999998,1,6.673175776646975e-10,8,0.6400000000000001,False
A_img,dual_rail,0.01,240.00000000000003,12.0,60.00000000000001,8.680555555555552,128,8.541664994108128e-08,5,0.6400000000000001,False
A_img,dual_rail,0.01,320.0,16.0,80.0,4.8828125,512,3.416665997643251e-07,3,0.6400000000000001,False
A_img,dual_rail_sq,0.01,40.0,2.0,10.0,312.5,0,0.0,200,0.6400000000000001,False
A_img,dual_rail_sq,0.01,60.00000000000001,3.0,15.000000000000002,138.88888888888883,0,0.0,88,0.6400000000000001,False
A_img,dual_rail_sq,0.01,80.0,4.0,20.0,78.125,0,0.0,50,0.6400000000000001,False
A_img,dual_rail_sq,0.01,100.0,5.0,25.0,49.99999999999999,1,6.673175776646975e-10,32,0.6400000000000001,False
A_img,dual_rail_sq,0.01,120.00000000000001,6.0,30.000000000000004,34.72222222222221,32,2.135416248527032e-08,22,0.6400000000000001,False
A_img,dual_rail_sq,0.01,160.0,8.0,40.0,19.53125,2,1.334635155329395e-09,12,0.6400000000000001,False
A_img,dual_rail_sq,0.01,200.0,10.0,50.0,12.499999999999998,4,2.66927031065879e-09,8,0.6400000000000001,False
A_img,dual_rail_sq,0.01,240.00000000000003,12.0,60.00000000000001,8.680555555555552,1024,6.833331995286502e-07,5,0.6400000000000001,False
A_img,dual_rail_sq,0.01,320.0,16.0,80.0,4.8828125,1024,6.833331995286502e-07,3,0.6400000000000001,False
A_img,differential_sq,0.01,40.0,2.0,10.0,312.5,0,0.0,200,0.6400000000000001,False
A_img,differential_sq,0.01,60.00000000000001,3.0,15.000000000000002,138.88888888888883,0,0.0,88,0.6400000000000001,False
A_img,differential_sq,0.01,80.0,4.0,20.0,78.125,0,0.0,50,0.6400000000000001,False
A_img,differential_sq,0.01,100.0,5.0,25.0,49.99999999999999,0,0.0,32,0.6400000000000001,False
A_img,differential_sq,0.01,120.00000000000001,6.0,30.000000000000004,34.72222222222221,0,0.0,22,0.6400000000000001,False
A_img,differential_sq,0.01,160.0,8.0,40.0,19.53125,0,0.0,12,0.6400000000000001,False
A_img,differential_sq,0.01,200.0,10.0,50.0,12.499999999999998,0,0.0,8,0.6400000000000001,False
A_img,differential_sq,0.01,240.00000000000003,12.0,60.00000000000001,8.680555555555552,4,2.66927031065879e-09,5,0.6400000000000001,False
A_img,differential_sq,0.01,320.0,16.0,80.0,4.8828125,1024,6.833331995286502e-07,3,0.6400000000000001,False
A_img,presence_phase0,0.05,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0,0.05,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0,0.05,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0,0.05,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0,0.05,120.00000000000001,6.0,30.000000000000004,69.44444444444441,16,1.067708124263516e-08,44,0.6400000000000001,False
A_img,presence_phase0,0.05,160.0,8.0,40.0,39.0625,0,0.0,25,0.6400000000000001,False
A_img,presence_phase0,0.05,200.0,10.0,50.0,24.999999999999996,0,0.0,16,0.6400000000000001,False
A_img,presence_phase0,0.05,240.00000000000003,12.0,60.00000000000001,17.361111111111104,1,6.673175776646975e-10,11,0.6400000000000001,False
A_img,presence_phase0,0.05,320.0,16.0,80.0,9.765625,512,3.416665997643251e-07,6,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,120.00000000000001,6.0,30.000000000000004,69.44444444444441,64,4.270832497054064e-08,44,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,160.0,8.0,40.0,39.0625,0,0.0,25,0.6400000000000001,False
A_img,presence_phase0_sq,0.05,200.0,10.0,50.0,24.999999999999996,0,0.0,16,0.6400000000000001,False
